fragment,contribution
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.576580
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.540672
"[N&H2]-[C&H2]-[C&H2]",-0.481000
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.456302
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.447031
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.437419
"[C&H0](=[N&H1])-[N&H2]",-0.418147
"[C&H3]-[N&H1]-[C&H2]-[C&H2]",-0.411253
"[C&H3]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.397460
"[O&H1]-[C&H0](=[O&H0])[C&H1]=[C&H1]",-0.396508
"[N&H2]-[C&H2]-[C&H2]-[C&H1]",-0.396145
"[c&H0&R](=[N&H0&+](-[C&H3])-[C&H3]):[c&H1&R]",-0.395297
"[O&H1]-[C&H0]=[O&H0]",-0.394094
"[c&H1&R]:[c&H0&R]=[N&H0&+](-[C&H3])-[C&H3]",-0.387755
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H1]",-0.387574
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.383772
"[N&H2]-[C&H2]-[C&H2]-[c&H0&R]",-0.383216
"[N&H2]-[C&H2]",-0.378949
"[O&H1]-[C&H0]-[C&H2]-[O&H0]",-0.376583
"[N&H2]-[C&H2]-[C&H2]-[c&H0&R]:[c&H1&R]",-0.369901
"[c&H0&R]=[N&H0&+](-[C&H3])-[C&H3]",-0.360343
"[N&H0]=[c&H0&R]([c&H1&R]):[c&H0&R2]:[c&H0&R2]",-0.357840
"[N&H2]-[C&H2]-[c&H0&R]:[c&H1&R]:[c&H1&R]",-0.356484
"[N&H2]-[N&H1]-[C&H2]-[C&H2]",-0.352122
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.351815
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.349912
"[N&H0]=[c&H0&R]([c&H1&R]:[c&H1&R]):[c&H0&R2]",-0.342281
"[C&H0](=[N&H1])-[N&H1]-[S&H0]=[O&H0]",-0.340878
"[C&H3]-[N&H1]-[C&H2]",-0.339629
"[O&H1]-[C&H0]-[C&H1]-[N&H1]-[C&H0]",-0.335523
"[C&H0](=[N&H1])-[N&H1]-[C&H0]=[O&H0]",-0.327130
"[C&H3]-[N&H1]-[C&H1&R]-[C&H2&R]-[C&H2&R]",-0.327071
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.327051
"[C&H1](-[N&H2])-[C&H2]",-0.326138
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.325480
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[C&H2]",-0.325236
"[C&H0&R]1(-[N&H2])-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",-0.325048
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[O&H0]",-0.321230
"[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.320953
"[c&H0&R](=[N&H0&+]-[C&H3]):[c&H1&R]",-0.320757
"[N&H0]=[c&H0&R]([c&H1&R]):[c&H0&R2]:[c&H1&R]",-0.317975
"[C&H0]-[N&H1]-[S&H0](=[O&H0])=[O&H0]",-0.316985
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[C&H2]",-0.316036
"[N&H0]=[c&H0&R]([c&H1&R]):[c&H0&R2]",-0.315371
