fragment,contribution
"[O&H0]-[P&H0](-[O&H1])-[O&H1]",0.433520
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.412390
"[N&H2]-[C&H0]=[N&H1]",-0.409485
"[C&H0](=[N&H1])-[N&H2]",-0.401577
"[O&H1]-[C&H0]=[O&H0]",-0.399955
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.395071
"[N&H1]-[C&H1]-[N&H1][C&H0]=[N&H0]",-0.392063
"[O&H0]-[P&H0](=[O&H0])(-[O&H1])-[O&H1]",0.391470
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.385431
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.383549
"[O&H0]-[P&H0](=[O&H0])-[O&H1]",0.382991
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.380874
"[C&H2]-[O&H0]-[P&H0](=[O&H0])-[O&H1]",0.380744
"[C&H0]=[N&H1]",-0.377037
"[C&H2]-[O&H0]-[P&H0]-[O&H1]",0.374540
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[c&H0&R]",-0.374021
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.373622
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.370524
"[O&H1]-[C&H0]-[C&H1]-[C&H2]-[c&H0&R]",-0.368401
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[C&H0]",-0.367163
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[c&H0&R]",-0.365770
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.364118
"[O&H1]-[C&H0](=[O&H0])[C&H1]=[C&H1]",-0.363989
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.363388
"[c&H0&R]-[C&H0]-[O&H1]",-0.359047
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.352817
"[c&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.352587
"[O&H1]-[C&H0]-[C&H1]-[N&H1]-[C&H0]",-0.351361
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.350808
"[C&H0]-[N&H1]-[S&H0](=[O&H0])=[O&H0]",-0.350670
"[n&H0&R]:[n&H0&R2]:[c&H0&R]-[O&H1]",-0.350666
"[C&H0]-[O&H1]",-0.350400
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.349648
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.347310
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[c&H0&R]",-0.346558
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H0]",-0.346390
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[C&H2]",-0.345750
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.344113
"[N&H2]-[C&H1]-[C&H2]-[C&H0]=[O&H0]",-0.343468
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.341178
"[N&H0]=[c&H0&R][c&H0&R2]:[c&H0&R2]:[c&H1&R]",-0.339900
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.338710
"[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.335951
"[O&H1]-[C&H0]-[C&H2]-[c&H0&R]:[c&H0&R]",-0.335649
"[c&H0&R]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.333132
"[N&H0]=[c&H0&R][c&H0&R2]:[c&H0&R2]:[n&H0&R]",-0.332214
"[N&H2]-[C&H2]-[C&H2]-[c&H0&R]:[c&H0&R2]",-0.331224
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.330842
"[N&H1]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.330350
"[C&H0]-[C&H0]-[O&H1]",-0.328190
"[C&H0]-[N&H1]-[S&H0]=[O&H0]",-0.327399
"[c&H0&R]-[C&H0]-[N&H1]-[S&H0]=[O&H0]",-0.326795
"[C&H2]-[O&H0]-[P&H0](-[O&H1])-[O&H1]",0.326415
"[C&H0]-[C&H0](=[O&H0])-[O&H1]",-0.326040
"[c&H0&R]-[N&H0]-[C&H0]=[N&H1]",-0.325367
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.325099
