fragment,contribution
"[O&H1]-[C&H0]=[O&H0]",-0.733147
"[C&H0]=[N&H1]",-0.625855
"[C&H0]-[O&H1]",-0.615198
"[c&H0&R]=[N&H1]",-0.588436
"[C&H0](=[O&H0])-[O&H1]",-0.571724
"[C&H0]=[N&H0][O&H1]",-0.560545
"[C&H1]-[O&H1]",-0.526351
"[N&H2]-[C&H0]=[N&H1]",-0.525183
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.510213
"[C&H0](=[N&H1])-[N&H2]",-0.487196
"[C&H0&R]-[O&H1]",-0.477810
"[S&H0]=[N&H1]",-0.461796
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.446448
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.421313
"[O&H1]-[C&H0](=[O&H0])[C&H1]=[C&H1]",-0.417041
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.409463
"[C&H1]-[N&H2]",-0.408425
"[N&H2]-[C&H1]-[C&H0]-[O&H1]",-0.406912
"[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.398269
"[c&H0&R]=[O&H0]",-0.396175
"[C&H3]-[C&H0]=[N&H1]",-0.393551
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H2]",-0.393480
"[c&H0&R]=[S&H0]",-0.392132
"[C&H1]-[C&H0]-[O&H1]",-0.383406
"[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.383287
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.381818
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[C&H2]",-0.372984
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H0]",-0.367826
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.365666
"[O&H1]-[C&H0]",-0.361883
"[C&H0]-[N&H2]",-0.361784
"[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.360703
"[C&H2]-[C&H0]=[N&H1]",-0.358212
