fragment,contribution
"[O&H1]-[C&H0]=[O&H0]",-0.715759
"[C&H0]=[N&H1]",-0.599219
"[N&H2]-[C&H0]=[N&H1]",-0.580775
"[N&H2]-[C&H2]-[C&H2]",-0.534761
"[C&H3]-[C&H0]=[N&H1]",-0.528944
"[O&H0]-[C&H2]-[C&H1]-[O&H0]-[P&H0]",-0.521259
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.514748
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.509157
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.504541
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[N&H1]",-0.490500
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.480297
"[c&H1&R]:[c&H0&R]-[C&H0]=[N&H0]-[O&H1]",-0.465089
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H1]",-0.463059
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.457947
"[O&H1]-[S&H0]=[N&H1]",-0.454791
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H1&R]",-0.454750
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.453158
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.448677
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.446695
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.440772
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.438225
"[c&H0&R]-[C&H0]=[N&H0]-[O&H1]",-0.437498
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.433632
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.432337
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.430333
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.423203
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[O&H0]",-0.423109
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.423076
"[c&H0&R]-[C&H0]=[N&H0]=[O&H1]",-0.420253
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[c&H0&R]",-0.420222
"[C&H0](=[O&H0])-[C&H2]-[O&H0]-[C&H0]",-0.417264
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H1&R3]",-0.415907
"[N&H2]-[C&H2]",-0.414873
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H2&R2]",-0.414317
"[n&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.407797
"[n&H0&R]-[C&H2]-[C&H1]-[O&H1]",-0.404008
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]",-0.403702
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.401485
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.399347
"[n&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.399192
"[N&H1]-[C&H2]-[C&H2]-[C&H1]-[O&H1]",-0.398274
"[C&H0]=[N&H0]=[O&H1]",-0.396268
"[C&H0]=[N&H0][O&H1]",-0.393311
"[c&H0&R]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.393301
"[n&H0&R]:[c&H0&R]-[N&H1]-[S&H0]=[O&H0]",-0.391177
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H0]",-0.390791
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]=[O&H0]",-0.390143
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.389566
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.387605
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.387234
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.387014
"[C&H0](=[O&H0])-[O&H1]",-0.386693
"[O&H0]-[C&H2]-[C&H0]=[O&H0]",-0.385822
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]=[O&H0]",-0.384205
"[O&H1]-[C&H0]-[C&H2]-[O&H0]",-0.383538
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.383184
"[O&H0]-[C&H2]-[C&H1]-[O&H0]-[c&H0&R]",-0.382089
"[O&H1]-[C&H0]-[C&H1]-[N&H1]-[C&H0]",-0.381940
"[S&H0]=[N&H1]",-0.381762
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R2]",-0.381097
"[n&H0&R]-[C&H2]-[C&H1]-[C&H2]-[O&H1]",-0.379209
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.378577
"[C&H0](=[O&H0])-[N&H1]-[S&H0]-[C&H3]",-0.376588
"[N&H2]-[C&H0&R3]-[C&H2&R2]",-0.374953
"[C&H3]-[C&H2]-[C&H2]-[c&H0&R]",0.372295
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.371824
"[C&H0](=[O&H0])-[C&H2]-[O&H0]-[C&H1&R]",-0.370731
"[O&H0]=[C&H0]-[N&H1]-[C&H1&R2]-[C&H2&R2]",-0.370121
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[n&H1&R]",-0.368681
"[n&H0&R]:[c&H0&R]-[C&H2]-[S&H0&+]-[O&H0&-]",-0.368253
"[C&H3]-[C&H2]-[C&H2]-[C&H2]-[c&H0&R]",0.368129
"[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.366960
"[N&H0&+]-[C&H2]-[C&H2]-[O&H0]-[C&H0]",-0.365234
"[n&H0&R]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.364978
"<FRAG_SEP>[C&H0](-[c&H0&R])-[c&H0&R]:[s&H0&R]",-0.363734
"<FRAG_SEP>[N&H1]-[C&H1&R2]-[C&H1&R3]-[C&H2&R2])-[C&H2&R]",-0.363168
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.358770
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.358412
"[c&H0&R]-[N&H0]-[C&H1]-[C&H0]=[O&H0]",-0.356770
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.356650
"[N&H2]-[C&H2]-[C&H2]-[C&H1]",-0.355473
"[n&H0&R]:[c&H0&R]-[C&H0]=[N&H0]-[O&H1]",-0.355144
"[c&H0&R]-[C&H2]-[C&H1]-[C&H0]-[O&H1]",-0.354535
"[C&H3]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",0.354386
"[n&H0&R]-[C&H2]-[C&H1]-[C&H2]-[N&H2]",-0.354207
"[O&H0]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.352844
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.352686
"[c&H0&R]-[O&H0]-[C&H2]-[C&H1]-[O&H1]",-0.351396
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[n&H0&R]",-0.351136
"[O&H0]=[C&H0]-[N&H1]-[C&H1&R2]-[C&H1&R3]",-0.351056
"[n&H0&R]-[C&H2]-[C&H2]-[O&H1]",-0.349109
"[O&H0]-[C&H2]-[C&H1]-[O&H1]",-0.348903
"[C&H0](=[O&H0])-[C&H2]-[O&H0]-[c&H0&R]",-0.348601
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R]",-0.346677
"[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]-[C&H2&R2]",-0.345315
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.344903
"[O&H1]-[C&H0](=[O&H0])-[C&H1&R]-[N&H1&R]",-0.344883
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H1&R3])-[C&H2&R2]",-0.344280
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.343636
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.343006
"[C&H0]-[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]",-0.342999
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.342353
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.338289
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]",-0.336539
"[n&H0&R]:[n&H0&R]:[n&H1&R]:[n&H0&R]",-0.336355
"[n&H0&R]:[c&H0&R]=[N&H1]",-0.336034
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]-[c&H0&R2]",-0.334957
"[n&H0&R]:[n&H0&R]-[C&H2]-[C&H1]-[O&H1]",-0.333924
"[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.333547
"[n&H0&R]:[n&H0&R]-[C&H2]-[C&H2]-[O&H1]",-0.331264
"[C&H0](=[O&H0])-[N&H1]-[S&H0]=[O&H0]",-0.330975
"[n&H0&R]:[c&H0&R]-[C&H2]-[S&H0]=[O&H0]",-0.330823
"[c&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.328422
"[c&H0&R]-[N&H1]-[C&H1]-[C&H0]=[O&H0]",-0.327030
"[c&H0&R]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.326835
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H2]",-0.326670
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.326340
"[N&H2]-[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]",-0.326302
"[C&H3]-[C&H1](-[N&H2])-[C&H2]",-0.326162
"[O&H0]-[C&H0]-[C&H0]-[O&H1]",-0.325610
"[C&H0]-[O&H1]",-0.324243
"[N&H0]-[C&H2]-[C&H2]-[O&H0]-[C&H0]",-0.324231
"[C&H1](-[O&H1])-[C&H2]-[C&H0]-[O&H1]",-0.323655
"[C&H0]=[C&H0]([c&H0&R]:[c&H1&R]):[c&H1&R]",0.323312
"[C&H3]-[c&H0&R](:[n&H0&R]):[s&H0&R]:[c&H1&R]",-0.323140
"[C&H0](=[O&H0])-[N&H1]-[S&H0]-[c&H0&R]",-0.320974
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H1&R2]-[C&H2&R]",-0.320696
"[n&H0&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.320321
"[C&H0]-[O&H0]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]",-0.320246
"[O&H1]-[C&H0](=[O&H0])-[C&H1]",-0.319328
"[N&H1]-[C&H2]-[C&H1]-[C&H2]-[O&H1]",-0.319042
"[N&H2]-[N&H1]-[C&H0]=[O&H0]",-0.318462
"[c&H0&R]-[C&H1]-[C&H0]-[O&H1]",-0.317867
"[C&H0]=[C&H0]([c&H0&R](:[c&H1&R]):[c&H1&R]",0.317473
"[S&H0]-[N&H0]-[C&H2]-[C&H0]=[O&H0]",-0.317191
"[n&H0&R]:[c&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.316219
"[C&H0](=[O&H0])-[C&H2]-[C&H0]=[O&H0]",-0.315825
"[c&H0&R]-[C&H0]-[O&H1]",-0.315416
"[O&H0]-[C&H2]-[C&H1]-[O&H0]",-0.315141
"[n&H0&R]-[C&H1]-[C&H2]-[O&H1]",-0.310838
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[N&H0&R]",-0.310174
"[C&H0](=[O&H0])-[N&H1]-[S&H0]-[C&H2]",-0.308257
"[O&H0]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.307878
"[c&H0&R]-[C&H2]-[N&H1]-[C&H0]=[N&H1]",-0.307725
"[C&H2]-[C&H0]=[N&H1]",-0.307384
"[C&H0]-[N&H0]-[C&H1]-[C&H0]=[O&H0]",-0.307148
"[c&H0&R]-[N&H1]-[C&H0]=[N&H1]",-0.306607
"[C&H3]-[c&H0&R](:[n&H0&R]:[n&H0&R]):[s&H0&R]",-0.304480
"[c&H0&R]-[C&H0]=[N&H1]",-0.304366
"[C&H0]-[N&H1]-[C&H1]-[C&H0]=[O&H0]",-0.304080
"[C&H3]-[C&H1&R]-[N&H0&R]=[C&H0&R]-[N&H2]",-0.303102
"[N&H0]-[C&H2]-[C&H2]-[O&H1]",-0.302364
"[o&H0&R]:[n&H0&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.301866
"[N&H0]=[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H1&R]",-0.301532
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[c&H0&R]",-0.301225
"[c&H1&R]:[c&H0&R]-[C&H0]=[N&H1]",-0.301131
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.300870
"[O&H1]-[C&H0]-[c&H0&R]:[c&H1&R]:[c&H0&R2]",-0.300740
"[C&H0](=[O&H0])-[C&H2]-[S&H0]=[O&H0]",-0.300180
"[O&H1]-[C&H1]-[O&H1]",-0.300019
"[c&H0&R]-[O&H0]-[C&H0]-[C&H0]-[O&H1]",-0.297718
"[C&H0](=[N&H1])-[N&H1]-[S&H0]=[O&H0]",-0.297450
"[N&H0]-[C&H2]-[C&H0]=[O&H0]",-0.297386
"[O&H1]-[C&H0]-[c&H0&R]:[n&H1&R]:[c&H0&R2]",-0.297269
"[c&H0&R2]-[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.297257
"[c&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.297094
"[C&H3]-[C&H2]-[C&H2]-[C&H2]",0.296853
"[N&H0]-[C&H2]-[C&H1]-[O&H1]",-0.296645
"[s&H0&R]:[c&H0&R]-[N&H1]-[S&H0]=[O&H0]",-0.294071
"[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.294007
"[O&H1]-[c&H0&R](:[n&H0&R]:[c&H1&R]):[n&H0&R]",-0.293652
"[n&H0&R]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.293533
"[O&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.293135
"[N&H1]-[C&H0]-[N&H1]-[S&H0]=[O&H0]",-0.292364
"[c&H0&R2]-[C&H1&R]-[C&H2]-[C&H0]-[O&H1]",-0.290898
"[c&H0&R]-[N&H0]-[C&H0]=[N&H1]",-0.290797
"[c&H0&R]=[N&H1]",-0.289248
"[F&H0]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.288977
"[N&H0]-[C&H0]-[O&H1]",-0.288297
