fragment,contribution
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.526914
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.526218
"[C&H3]-[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]",-0.495087
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]=[O&H0]",-0.485570
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.475864
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[c&H0&R]",-0.462924
"[C&H3]-[C&H0](=[N&H1])-[c&H0&R]",-0.460988
"[C&H1&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.458944
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.455962
"[C&H0&R3]-[N&H1]-[C&H2]-[C&H0]=[O&H0]",-0.454379
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.454045
"[C&H3]-[C&H0](=[N&H1])-[N&H1]",-0.449505
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.443776
"[C&H3]-[C&H1&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.432210
"[c&H0&R]-[O&H0]-[C&H0]-[C&H0]-[O&H1]",-0.427150
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.421444
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.411391
"[c&H1&R]:[c&H0&R](=[N&H0&+]-[C&H3]):[c&H1&R]",-0.409956
"[c&H1&R]:[c&H0&R](-[C&H0]-[O&H1])-[O&H1]",-0.404666
"[c&H1&R]:[n&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.403024
"[C&H2&R]-[N&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.401056
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.400830
"[C&H2&R]-[C&H1&R]-[N&H1]-[C&H2]-[c&H0&R]",-0.399788
"[C&H0]-[N&H1]-[C&H2]-[C&H0]=[O&H0]",-0.399617
"[C&H2&R]-[C&H1&R]-[C&H2]-[C&H0]-[O&H1]",-0.399508
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[C&H2]",-0.394890
"[n&H0&R]:[c&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.386192
"[N&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.383697
"[c&H0&R]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.383648
"[c&H1&R]:[c&H0&R]=[N&H0&+](-[C&H3])-[C&H3]",-0.382618
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.379710
"[C&H2&R]-[C&H1&R]-[N&H1]-[C&H2]-[C&H2]",-0.378268
"[c&H0&R]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.378204
"[c&H1&R]:[c&H0&R](-[N&H2]):[c&H1&R]:[c&H1&R]",-0.375653
"[C&H2&R2]-[C&H0&R3]-[C&H2]-[C&H0]-[O&H1]",-0.374682
"[S&H0]-[N&H0]-[C&H2]-[C&H0]=[O&H0]",-0.373860
"[C&H1&R]-[O&H0]-[C&H0]-[C&H0]-[O&H1]",-0.370444
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.369554
"[n&H0&R]:[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.366828
"[c&H0&R]-[S&H0]-[C&H2]-[C&H0]=[O&H0]",-0.364296
"[c&H1&R]:[c&H0&R](-[C&H0]-[O&H1])-[c&H0&R]",-0.363890
"[N&H1]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.362982
"[C&H3]-[C&H1](-[N&H2])-[C&H2]",-0.359681
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.358631
"[C&H1&R]-[C&H1&R]-[C&H2]-[C&H0]-[O&H1]",-0.357384
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]=[O&H0]",-0.353322
"[O&H0]=[c&H0&R]:[n&H0&R2]-[C&H2&R]-[C&H2&R]",-0.352418
"[c&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.350934
"[c&H1&R]:[c&H0&R](-[C&H0]-[O&H1]):[c&H0&R]",-0.350747
"[c&H1&R]:[c&H0&R](-[C&H0]-[O&H1]):[c&H1&R]",-0.349619
"[C&H0&R]-[C&H1&R]-[C&H2]-[C&H0]-[O&H1]",-0.349432
"[c&H1&R]:[c&H0&R](-[N&H2]):[c&H0&R2]-[C&H2&R]",-0.349152
"[N&H0&R]-[C&H1&R]-[C&H2]-[C&H0]=[O&H0]",-0.347820
"[n&H0&R]:[c&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.346542
"[c&H0&R](=[N&H0&+]-[C&H3])-[C&H3]",-0.345967
"[c&H0&R]:[n&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.345594
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.345569
"[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]-[c&H0&R2]",-0.345476
"[C&H0]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.343562
"[C&H2&R]-[C&H1&R]-[C&H2]-[C&H0]=[O&H0]",-0.343416
"[C&H1&R]-[C&H2]-[N&H1]-[C&H2]-[c&H0&R]",-0.342519
"[c&H1&R]:[c&H0&R](-[N&H2]):[c&H1&R]:[c&H0&R]",-0.341964
"[C&H3]-[C&H0](=[N&H1])-[c&H0&R]:[c&H1&R]",-0.336524
"[C&H1&R]-[C&H1&R]-[N&H1]-[C&H2]-[c&H0&R]",-0.332434
"[C&H2&R]-[C&H1&R2]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.331771
"[c&H1&R]:[c&H0&R]=[N&H0&+]-[C&H3]",-0.329580
"[C&H0]-[C&H0]-[O&H1]",-0.329201
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[S&H0]",-0.328679
"[c&H0&R]-[C&H1]-[C&H2]-[C&H0]=[O&H0]",-0.328344
"[c&H1&R]:[c&H1&R]:[c&H0&R](-[N&H2]):[c&H0&R2]",-0.327442
"[C&H2&R2]-[C&H0&R3]-[C&H2]-[C&H0]=[O&H0]",-0.322509
"[c&H0&R2]:[c&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.321084
"[N&H0&R]-[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.321039
"[c&H1&R]:[c&H1&R]:[c&H0&R](-[N&H2]):[c&H1&R]",-0.320055
"[C&H3]-[C&H1](-[N&H2])-[C&H0]=[O&H0]",-0.319948
"[C&H2&R]-[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.319112
"[C&H2&R2]-[C&H0&R3]-[N&H1]-[C&H2]-[C&H0]",-0.314277
"[c&H1&R]:[c&H0&R](=[N&H0&+]):[c&H1&R]",-0.314093
