fragment,contribution
"[O&H1]-[C&H0]=[O&H0]",-1.313634
"[C&H0]=[N&H1]",-1.192960
"[c&H0&R]=[N&H1]",-0.934304
"[C&H0]-[O&H1]",-0.859327
"[c&H0&R]/[C&H0]=[N&H0]/[O&H1]",-0.742588
"[C&H0]=[N&H0][O&H1]",-0.592662
"[S&H0]=[N&H1]",-0.585434
"[C&H2]-[C&H0]=[N&H1]",-0.568854
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.547167
"[C&H3]-[C&H0]=[N&H1]",-0.510276
"[C&H3]-[N&H1]-[C&H2]-[C&H2]",-0.479253
"[C&H3]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.461475
"[C&H2]/[N&H0]=[c&H0&R]\[c&H1&R]:[c&H1&R]",-0.456265
"[C&H0&R2]-[O&H1]",-0.455474
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.447287
"[C&H2]/[N&H0]=[c&H0&R]\[c&H1&R]",-0.436862
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.434465
"[n&H0&R]:[c&H0&R]=[N&H1]",-0.432651
"[C&H1]-[O&H1]",-0.429318
"[C&H3]/[N&H0]=[C&H0]\[S&H1]",-0.427091
"[c&H0&R]1:[n&H0&R]:[n&H0&R]:[n&H0&R]:[n&H0&R]:1",-0.416561
"[N&H2]-[N&H1]-[C&H2]-[C&H2]",-0.412221
"[c&H0&R]1:[n&H0&R]:[n&H0&R]:[n&H0&R]:[n&H1&R]:1",-0.411798
"[N&H2]-[C&H2]-[C&H2]",-0.408013
"[C&H1]/[N&H0]=[c&H0&R]\[c&H1&R]:[c&H1&R]",-0.407515
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H1]",-0.402944
"[N&H1]-[C&H0]=[N&H1]",-0.388225
"[c&H0&R]-[C&H0]=[N&H1]",-0.387942
"[C&H3]-[C&H1]-[N&H1]-[C&H2]-[C&H2]",-0.387691
"[C&H1]/[N&H0]=[c&H0&R]\[c&H1&R]",-0.384102
"[O&H0&R]-[C&H0&R]-[O&H1]",-0.383373
"[C&H0](=[O&H0])-[O&H1]",-0.380137
"[C&H2]/[N&H0]=[c&H0&R]/[c&H0&R2]",-0.380026
"[C&H2]-[C&H2]-[N&H1]-[C&H2]-[C&H2]",-0.373349
"[c&H0&R]-[C&H0]-[O&H1]",-0.371153
"[C&H0]-[N&H1]-[O&H1]",-0.368060
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.368055
"[C&H2]-[C&H0]-[O&H1]",-0.367357
"[N&H2]-[N&H1]-[C&H2]",-0.366252
"[C&H3]-[N&H1]-[C&H2]",-0.364147
"[C&H2]-[C&H2]/[N&H0]=[c&H0&R]\[c&H1&R]",-0.363282
"[N&H2]-[C&H2]",-0.362834
"[C&H0]-[C&H0]-[O&H1]",-0.362208
"[C&H2]/[N&H0]=[c&H0&R]/[c&H0&R2]:[c&H1&R]",-0.360494
"[c&H0&R]1:[n&H0&R]:[n&H0&R]:[n&H1&R]:[n&H0&R]:1",-0.359876
"[C&H2]-[C&H1]/[N&H0]=[c&H0&R]\[c&H1&R]",-0.358435
"[C&H3]-[N&H0&R2]-[C&H1&R2]-[C&H2&R]-[C&H2&R]",-0.353903
"[n&H0&R]:[n&H0&R]:[n&H1&R]:[n&H0&R]",-0.348682
"[C&H0](=[N&H0]\[O&H1])\[N&H2]",-0.348032
"[C&H0&R3]-[C&H0]-[O&H1]",-0.346106
"[C&H3]-[C&H1&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.345864
"[C&H1]-[C&H0]-[O&H1]",-0.344560
"[C&H3]-[N&H1]-[C&H1&R]-[C&H2&R]-[C&H2&R]",-0.343147
"[C&H0&R]-[C&H0]-[O&H1]",-0.340285
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.338999
"[C&H1&R]-[C&H0]-[O&H1]",-0.338217
"[C&H0&R]1(-[N&H2])-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",-0.338139
"[C&H3]-[N&H1]-[C&H1]-[C&H3]",-0.333392
"[n&H0&R]1:[n&H0&R]:[n&H0&R]:[n&H0&R]:[c&H0&R]:1",-0.332597
"[C&H2]/[N&H0]=[c&H0&R](\[c&H1&R]):[c&H0&R2]",-0.329723
"[C&H2]-[C&H2]/[N&H0]=[c&H0&R]/[c&H0&R2]",-0.327340
"[C&H2]-[C&H2]-[N&H1]-[C&H3]",-0.327096
"[C&H0]-[C&H0&R2]-[O&H1]",-0.326455
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.324887
"[O&H1]-[B&H0]-[O&H1]",-0.315756
"[N&H2]-[N&H1]",-0.314627
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.313825
"[C&H3]-[N&H1]-[C&H2]-[C&H1]",-0.312151
"[N&H2]-[C&H2]-[C&H2]-[C&H1]",-0.312000
"[c&H0&R2]-[C&H0&R]-[O&H1]",-0.309257
"[n&H0&R]1:[n&H0&R]:[n&H0&R]:[c&H0&R]:[n&H0&R]:1",-0.307327
"[C&H0]-[C&H1]-[O&H1]",-0.306111
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.304213
"[C&H0]-[N&H0]-[O&H1]",-0.304213
"[C&H2]-[C&H1]/[N&H0]=[c&H0&R]/[c&H0&R2]",-0.301736
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H1&R]",0.301384
"[C&H1]-[N&H2]",-0.301230
"[C&H1]/[N&H0]=[c&H0&R]/[c&H0&R2]",-0.300446
"[C&H3]-[C&H1]-[N&H1]-[C&H2]",-0.297154
"[C&H3]-[C&H2]-[N&H1]-[C&H2]",-0.295468
"[n&H0&R]1:[c&H1&R]:[n&H0&R]:[n&H0&R]:[n&H0&R]:1",-0.295059
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.294976
"[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.294065
"[c&H0&R]/[C&H0](=[N&H0]/[O&H1])-[N&H2]",-0.293840
"[c&H0&R]-[C&H1]-[O&H1]",-0.293294
"[C&H3]-[C&H1&R2]-[C&H1&R2]-[O&H1]",-0.292902
"[C&H2&R]-[C&H0&R]-[O&H1]",-0.292459
"[C&H0]/[C&H0]=[N&H0]\[O&H0]-[C&H3]",-0.291574
"[C&H3]/[N&H0]=[C&H0]/[n&H0&R]",-0.288634
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[s&H0&R]",0.287402
"[C&H3]-[C&H0]-[O&H1]",-0.287315
"[C&H2]-[C&H2]-[N&H1]-[C&H2]",-0.286971
"[n&H0&R2]:[c&H0&R]-[O&H1]",-0.285966
"[C&H2&R2]-[C&H0&R3]-[O&H1]",-0.284468
"[N&H2]-[N&H1]-[C&H2]-[C&H2]-[c&H0&R]",-0.284306
"[C&H1]/[N&H0]=[c&H0&R]/[c&H0&R2]:[c&H1&R]",-0.283799
"[C&H0]-[C&H2]-[O&H1]",-0.283539
"[C&H3]/[N&H0]=[C&H0]/[n&H0&R]:[n&H0&R]",-0.282359
"[O&H1]-[S&H0]=[N&H1]",-0.282269
"[C&H0]-[N&H1]-[S&H0]=[O&H0]",-0.282249
"[Br&H0]-[c&H0&R](:[c&H1&R]):[c&H1&R]",0.280476
"[Br&H0]-[c&H0&R](:[c&H1&R]):[c&H1&R]:[c&H1&R]",0.279167
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[N&H1]",-0.278818
"[C&H0&R]1(-[C&H2]-[N&H2])-[C&H2&R]-[C&H2&R]-1",-0.278046
"[N&H2]",-0.277741
"[C&H0&R]-[C&H0&R]-[O&H1]",-0.275820
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.275724
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.275694
"[O&H1]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H1&R]",0.275210
"[C&H3]-[N&H1]-[C&H2]-[c&H0&R]:[c&H1&R]",-0.275008
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]",-0.273979
"[C&H2]/[N&H0]=[c&H0&R]/[c&H0&R2]:[c&H0&R2]",-0.273621
"[C&H1&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.273216
"[C&H3]-[N&H0&R2]-[C&H1&R2]-[C&H2&R]",-0.273102
"[N&H2]-[C&H2]-[C&H2]-[c&H0&R]",-0.273099
"[c&H0&R]1:[n&H0&R]:[n&H0&R]:[n&H0&R]:[c&H0&R]:1",-0.272685
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.271991
"[B&H0&R]-[O&H1]",-0.271520
"[B&H0]-[O&H1]",-0.271520
"[C&H2]-[C&H1&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.271482
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H0&R2]",0.270771
"[c&H0&R]-[C&H0&R]-[O&H1]",-0.270681
"[C&H1]-[C&H2]-[N&H1]-[C&H2]",-0.270407
"[n&H0&R]:[c&H0&R]/[C&H0]=[N&H0]/[O&H1]",-0.269927
"[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.269664
"[C&H2&R]-[C&H0&R2]-[O&H1]",-0.267453
"[C&H3]-[N&H0&R2](-[C&H1&R2])-[C&H1&R2]-[C&H2&R]",-0.266941
"[n&H0&R]:[c&H0&R]-[O&H1]",-0.266631
"[C&H1]/[N&H0]=[c&H0&R](\[c&H1&R]):[c&H0&R2]",-0.265444
"[C&H0](=[O&H0])-[N&H1]-[O&H1]",-0.263857
"[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.262538
"[N&H2]-[C&H2]-[c&H0&R]",-0.262479
"[C&H3]-[N&H1]-[C&H1]-[C&H1]-[O&H1]",-0.261783
"[c&H0&R2]-[C&H1&R]-[O&H1]",-0.261436
"[C&H3]-[N&H1]-[C&H1&R]-[C&H2&R]",-0.260973
"[C&H3]-[C&H2]-[N&H1]-[C&H2]-[c&H0&R]",-0.260957
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H0&R]",0.260456
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.260406
"[Br&H0]-[c&H0&R](:[c&H1&R]:[c&H0&R]):[c&H1&R]",0.260210
"[Br&H0]-[c&H0&R](:[c&H1&R]):[s&H0&R]",0.258518
"[c&H0&R]=[N&H0&+]-[C&H3]",-0.257479
"[C&H2&R]-[C&H1&R]-[N&H1]-[C&H2]-[C&H2]",-0.257439
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[O&H0]",-0.257437
"[C&H2]-[C&H1]-[N&H1]-[C&H2]-[C&H2]",-0.257209
"[C&H1](-[C&H3])-[N&H1]-[C&H2]-[C&H2]",-0.255606
"[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.253537
"[C&H3]-[C&H1&R]-[N&H1&R]-[C&H2&R]",-0.253209
"[C&H3]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",0.251615
"[C&H1]-[C&H0&R]-[O&H1]",-0.250938
"[C&H2]-[N&H2]",-0.250839
"[c&H0&R]1:[o&H0&R]:[n&H0&R]:[c&H0&R]:[n&H0&R]:1",-0.250792
"[C&H0]-[C&H0](=[O&H0])-[O&H1]",-0.250594
"[C&H2&R]-[C&H0&R3]-[O&H1]",-0.249940
"[Br&H0]-[c&H0&R](:[c&H1&R]):[c&H1&R]:[c&H0&R2]",0.249826
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.248698
"[C&H3]-[C&H1]-[N&H1]-[C&H1]-[C&H3]",-0.248577
"[C&H3]-[C&H1]-[N&H1]-[N&H1]",-0.248187
"[c&H0&R]-[C&H2]-[N&H1]-[C&H2]-[C&H2]",-0.248149
"[C&H2&R]-[C&H1&R]-[O&H1]",-0.248041
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.247608
