fragment,contribution
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H1&R3])-[C&H2&R2]",-0.613911
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.611844
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.607670
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H2&R2]",-0.602746
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]",-0.597054
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]-[C&H1&R3]",-0.592685
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.579807
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.553377
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.529114
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.527229
"[C&H0]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.523814
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.521180
"[O&H1]-[C&H0]=[O&H0]",-0.520878
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.511604
"[O&H1]-[C&H0]-[c&H0&R]:[n&H1&R]:[c&H0&R2]",-0.505413
"[c&H0&R]-[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.491043
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.486881
"[O&H1]-[C&H0]-[C&H2]-[n&H0&R]:[n&H0&R]",-0.485455
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.484878
"[N&H2]-[C&H0&R3]-[C&H2&R2]",-0.484339
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.480583
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.475604
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.474799
"[C&H0]-[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.473995
"[O&H1]-[C&H0]-[C&H1]-[N&H1]-[C&H0]",-0.473696
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H1&R]",-0.472574
"[O&H1]-[C&H0]-[C&H2]-[c&H0&R]:[n&H0&R]",-0.462316
"[C&H0](=[N&H1])-[N&H2]",-0.459257
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.459092
"[N&H2]-[C&H2]-[C&H2]",-0.457336
"[c&H0&R]-[C&H2]-[C&H1]-[C&H0]-[O&H1]",-0.456327
"[O&H1]-[C&H0](=[O&H0])-[C&H2]",-0.455389
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.454513
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[N&H2]",-0.451232
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[n&H0&R]",-0.449590
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.446352
"[c&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.444678
"[S&H0]-[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.443725
"[C&H0]-[N&H1]-[C&H1]-[C&H0]=[O&H0]",-0.442060
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.442026
"[N&H0&R]-[S&H0]-[N&H1]-[C&H0]=[O&H0]",-0.440397
"[N&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.437376
"[c&H0&R]-[N&H1]-[N&H1]-[C&H0]=[O&H0]",-0.436969
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.436653
"[C&H0]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.434971
"[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]-[C&H2&R2]",-0.432659
"[F&H0]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.432641
"[n&H0&R]:[c&H0&R]-[C&H0]=[N&H0]-[O&H1]",-0.432615
"[O&H1]-[c&H0&R]:[n&H0&R]:[n&H0&R]",-0.431885
"[O&H1]-[C&H0]-[C&H2]-[N&H0&R]-[c&H0&R2]",-0.429410
"[O&H1]-[C&H0]-[C&H2]-[n&H0&R]:[c&H1&R]",-0.426342
"[c&H0&R]-[N&H1]-[C&H1]-[C&H0]=[O&H0]",-0.423428
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H0]",-0.421076
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.420592
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.418139
"[N&H0]-[C&H2]-[C&H2]-[O&H1]",-0.412423
"[O&H1]-[c&H0&R]:[n&H0&R]:[c&H0&R]=[O&H0]",-0.412011
"[O&H1]-[c&H0&R]:[n&H0&R2]:[c&H0&R2]:[n&H0&R]",-0.410851
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.408227
"[C&H0]-[N&H1]-[C&H1]-[S&H0]=[O&H0]",-0.404995
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.404297
"[O&H1]-[C&H0]-[C&H2]-[n&H0&R]",-0.402851
"[C&H3]-[C&H1]-[N&H1]-[C&H2]-[c&H0&R]",-0.401564
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[C&H0]",-0.400894
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R2]",-0.400640
"[c&H0&R]-[C&H0]-[N&H1]-[S&H0]=[O&H0]",-0.400383
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]=[O&H0]",-0.399577
"[N&H0&+]-[C&H2]-[C&H2]-[O&H0]-[C&H0]",-0.398684
"[O&H1]-[c&H0&R]:[n&H0&R2]:[n&H0&R]",-0.397110
"[N&H2]-[C&H2]",-0.396718
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R]",-0.396389
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[C&H2]-[N&H0&R]",-0.392886
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]",-0.392410
"[c&H0&R2]-[C&H1&R]-[C&H2]-[C&H0]-[O&H1]",-0.392409
"[C&H3]-[C&H2]-[N&H1]-[C&H2]-[c&H0&R]",-0.391811
"[c&H0&R2]-[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.390995
"[c&H0&R]-[O&H0]-[C&H2]-[C&H1]-[O&H1]",-0.390359
"[c&H0&R]-[C&H0]-[N&H1]-[S&H0]-[c&H0&R]",-0.389771
"[O&H1]-[C&H0]-[C&H2]-[O&H0]",-0.389736
"[c&H0&R](=[N&H0&+](-[C&H3])-[C&H3]):[c&H1&R]",-0.389070
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.388945
"[N&H0&R]-[C&H1&R]=[N&H0&R]-[N&H0&R]-[O&H1]",-0.388712
"[n&H0&R]:[n&H1&R]:[c&H0&R]-[N&H2]",-0.387889
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[c&H0&R]",-0.386752
"[C&H0]-[N&H1]-[C&H2]-[C&H0]=[O&H0]",-0.386412
"[n&H0&R]:[c&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.385802
"[N&H2]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.384790
"[c&H0&R]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.384080
"[O&H1]-[C&H0]-[c&H0&R]:[c&H0&R]=[O&H0]",-0.383253
"[N&H0]-[S&H0]-[C&H2]-[C&H0]",-0.380778
"[S&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.380442
"[N&H2]-[C&H2]-[C&H2]-[C&H1]-[O&H0]",-0.380104
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.380040
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[c&H0&R]",-0.378571
"[O&H1]-[c&H0&R]:[n&H0&R]:[n&H0&R]:[c&H0&R]",-0.376987
"[C&H0]-[N&H1]-[C&H1]-[S&H0]-[C&H3]",-0.376348
"[C&H3]-[C&H0]=[N&H1]",-0.375932
"[n&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.373627
"[N&H0]-[C&H2]-[C&H1]-[O&H1]",-0.372212
"[O&H1]-[C&H0](=[O&H0])-[C&H1]",-0.371293
"[C&H0]-[C&H2]-[C&H1]-[C&H0]=[O&H0]",-0.370363
"[C&H0](=[O&H0])-[O&H1]",-0.369869
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[C&H2]",-0.368794
"[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.367944
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[C&H0]",-0.366792
"[N&H1]-[C&H1]-[C&H2]-[C&H0]=[O&H0]",-0.365947
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.364673
"[N&H1]-[C&H0]-[N&H1]-[S&H0]-[c&H0&R]",-0.363975
"[Cl&H0]-[C&H0]=[O&H0]",-0.363276
"[C&H0]-[N&H1]-[S&H0]=[O&H0]",-0.362345
"[c&H0&R]-[O&H0]-[S&H0]-[C&H0]",-0.361170
"[c&H0&R]1:[n&H0&R]:[n&H0&R]:[n&H0&R]:[n&H1&R]:1",-0.360478
"[C&H0](=[N&H1])-[N&H1]-[S&H0]=[O&H0]",-0.360203
"[n&H0&R]:[n&H1&R]:[c&H0&R]=[O&H0]",-0.360095
"[O&H1]-[C&H0]-[C&H1]-[C&H2]-[c&H0&R]",-0.359143
"[c&H0&R]=[N&H0&+](-[C&H3])-[C&H3]",-0.359116
"[N&H2]-[c&H0&R]:[n&H0&R&+]-[O&H0&-]",-0.358825
"[N&H1]-[C&H2]-[C&H2]-[C&H1]-[O&H1]",-0.358762
"[n&H0&R]:[c&H0&R]-[N&H1]-[S&H0]=[O&H0]",-0.358226
"[c&H0&R]1:[n&H0&R]:[n&H0&R]:[n&H1&R]:[n&H0&R]:1",-0.357183
"[c&H0&R]-[O&H0]-[S&H0]=[O&H0]",-0.353211
"[N&H2]-[C&H1]-[C&H2]-[C&H0]=[O&H0]",-0.353146
"[N&H1]-[C&H0]-[N&H1]-[S&H0]=[O&H0]",-0.352604
"[O&H1]-[c&H0&R]:[n&H0&R]:[c&H1&R]:[n&H0&R]",-0.352506
"[O&H1]-[c&H0&R]:[n&H0&R]:[c&H0&R]:[n&H0&R]",-0.352220
"[S&H0]-[N&H0]-[C&H2]-[C&H0]=[O&H0]",-0.351262
"[N&H1]-[C&H2]-[C&H2]-[O&H0]-[c&H0&R]",-0.350986
"[N&H0]-[C&H2]-[C&H2]-[O&H0]-[C&H0]",-0.350974
"[N&H0&R]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.349862
"[c&H0&R]-[N&H0]-[C&H1]-[C&H0]=[O&H0]",-0.349442
"[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.348815
"[c&H0&R]-[C&H0&R2]-[C&H2&R]-[N&H0&R3]-[C&H2&R2]",-0.347894
"[c&H0&R]=[N&H0&+]-[C&H3]",-0.346904
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.346795
"[S&H0]=[N&H1]",-0.346235
"[C&H0]-[N&H1]-[C&H1]-[N&H1]-[C&H0]",-0.346127
"[C&H0]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.345382
"[O&H1]-[C&H0]-[C&H1&R]-[N&H1&R]",-0.345142
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]=[O&H0]",-0.345008
"[c&H0&R]-[S&H0]-[N&H1]-[c&H0&R]:[s&H0&R]",-0.343548
"[c&H0&R]-[S&H0]-[C&H2]-[C&H0]=[O&H0]",-0.342874
"[N&H1]-[C&H1]-[C&H2]-[C&H2]-[O&H1]",-0.342441
"[O&H1]-[C&H0]-[c&H0&R]:[n&H0&R]:[c&H0&R2]",-0.341773
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.341564
"[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.341473
"[N&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.341126
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.340884
"[c&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.340388
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.339400
"[n&H0&R]-[C&H2]-[C&H1]-[O&H1]",-0.339154
"[n&H0&R]-[C&H2]-[C&H2]-[O&H1]",-0.338886
"[O&H1]-[S&H0]=[N&H1]",-0.337943
"[n&H0&R2]:[c&H0&R]-[N&H1]-[C&H0]=[O&H0]",-0.337159
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[c&H0&R]",-0.336554
"[C&H0]-[N&H1]-[S&H0]-[N&H2]",-0.336303
"[O&H0]-[C&H2]-[C&H2]-[C&H0]=[O&H0]",-0.334653
"[S&H0]-[N&H0&R]-[N&H0&R]=[C&H1&R]-[c&H0&R2]",-0.334121
"[O&H0]-[C&H2]-[C&H1]-[O&H1]",-0.333724
"[C&H0]-[N&H1]-[c&H0&R](:[c&H0&R]):[n&H0&R]",-0.333037
"[N&H0&R]-[C&H0]-[N&H1]-[S&H0]-[c&H0&R]",-0.332118
"[C&H3]-[C&H0]-[N&H1]-[C&H2]-[c&H0&R]",-0.331541
"[N&H1]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.331224
"[C&H0]-[O&H0]-[C&H2]-[O&H0]-[C&H0]",-0.330683
"[N&H0]-[C&H2]-[C&H2]-[C&H2]-[c&H0&R]",-0.330397
"[N&H1]-[C&H2]-[C&H1]-[C&H2]-[O&H1]",-0.330293
"[C&H0](=[N&H1])-[C&H2]-[O&H0]-[C&H2]",-0.330279
"[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.329982
"[c&H0&R]-[O&H0]-[C&H1]-[C&H2]-[O&H1]",-0.329705
"[C&H0](=[O&H0])-[C&H2]-[O&H1]",-0.328845
"[N&H1]-[C&H2]-[C&H0]-[O&H1]",-0.328591
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.328520
"[N&H1]-[C&H1]-[C&H2]-[O&H1]",-0.328028
"[N&H0]-[C&H2]-[C&H2]-[C&H0]",-0.326837
"[c&H0&R]-[C&H2]-[C&H1]-[C&H0]=[O&H0]",-0.326452
"[C&H2]-[C&H2]-[N&H1]-[C&H2]-[c&H0&R]",-0.325717
"[C&H0]-[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]",-0.325383
"[n&H0&R]:[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.325025
"[c&H0&R]-[S&H0]-[N&H1]-[c&H0&R]:[n&H1&R]",-0.324615
"[n&H0&R]:[c&H0&R]-[C&H2]-[S&H0&+]-[O&H0&-]",-0.323245
"[N&H2]-[C&H2]-[C&H2]-[C&H1]",-0.322998
"[O&H1]-[C&H2]-[c&H0&R]:[n&H0&R]:[c&H0&R2]",-0.322959
"[N&H1]-[C&H2]-[C&H1]-[C&H0]=[O&H0]",-0.322604
"[c&H0&R]-[C&H2]-[N&H1]-[C&H2]-[c&H0&R]",-0.322224
"[O&H1]-[N&H0&R](-[C&H0&R]=[N&H0&R])-[c&H0&R]",-0.321889
"[c&H0&R]-[N&H1]-[S&H0]=[O&H0]",-0.319457
"[n&H1&R]:[c&H0&R]-[C&H0](=[O&H0])-[O&H1]",-0.318750
"[N&H0]-[C&H2]-[C&H2]-[C&H0]-[C&H0]",-0.318124
"[N&H0&R]-[C&H0]-[N&H1]-[S&H0]=[O&H0]",-0.318096
"[C&H0]=[N&H0]=[O&H1]",-0.318061
"[O&H1]-[C&H0](=[O&H0])-[C&H1]-[c&H0&R]",-0.317255
"[c&H1&R]:[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.316826
"[C&H3]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.316770
"[o&H0&R]:[n&H0&R]:[c&H0&R]-[C&H2]-[O&H1]",-0.314780
"[N&H2]-[C&H2]-[c&H0&R]:[n&H0&R]",-0.314766
"[n&H0&R]-[C&H2]-[C&H1]-[C&H2]-[N&H2]",-0.314636
"[c&H0&R]-[S&H0]-[N&H0]-[C&H2]-[C&H0]",-0.314352
"[c&H0&R]-[S&H0]-[N&H1]-[c&H0&R]:[n&H0&R]",-0.314276
"[O&H1]-[C&H0]-[c&H0&R]:[n&H1&R]",-0.314124
"[o&H0&R]:[n&H0&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.313844
"[c&H0&R]-[S&H0]-[N&H1]-[C&H0]-[c&H0&R]",-0.310595
