fragment,contribution
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.706998
"[C&H0&R3]-[C&H0]-[O&H1]",-0.686962
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.685347
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.640802
"[C&H1]-[C&H0]-[O&H1]",-0.621730
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.621449
"[N&H1]-[C&H1]-[C&H0]-[O&H1]",-0.612983
"[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.607362
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[c&H0&R]",-0.603589
"[C&H0&R]-[C&H0]-[O&H1]",-0.599684
"[N&H2]-[C&H1]-[C&H0]-[O&H1]",-0.594057
"[N&H0]-[C&H2]-[C&H0]-[O&H1]",-0.588724
"[C&H1&R]-[C&H0]-[O&H1]",-0.582456
"[C&H2]-[C&H0]-[O&H1]",-0.574304
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.562389
"[c&H0&R]-[C&H0]-[O&H1]",-0.558233
"[C&H0]-[C&H0]-[O&H1]",-0.551560
"[n&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.526675
"[n&H0&R]:[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.519486
"[N&H1]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.518860
"[N&H1]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.517367
"[O&H1]-[C&H0]-[C&H2]-[C&H2]-[c&H0&R]",-0.517254
"[C&H2](-[C&H0]-[C&H0]-[O&H1])-[c&H0&R]",-0.514763
"[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.507874
"[N&H2]-[C&H0](=[N&H1])-[c&H0&R]:[c&H1&R]",-0.496284
"[N&H2]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.495494
"[N&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.495176
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[S&H0]",-0.493514
"[S&H0]-[C&H2]-[C&H0]-[O&H1]",-0.488050
"[n&H0&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.484333
"[N&H2]-[C&H0](=[N&H1])-[N&H1]-[c&H0&R]",-0.481148
"[C&H0](=[N&H1])-[N&H2]",-0.478634
"[O&H0]-[C&H2]-[C&H0]=[O&H0]",-0.476742
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.473493
"[N&H2]-[C&H0](=[N&H1])-[c&H0&R]:[s&H0&R]",-0.473416
"[O&H1]-[C&H0]=[O&H0]",-0.469018
"[C&H2]-[C&H0]-[C&H0]-[O&H1]",-0.467019
"[N&H2]-[C&H2]-[C&H2]",-0.466536
"[N&H1]-[C&H0]-[C&H0]-[O&H1]",-0.466266
"[N&H2]-[N&H1]-[C&H2]-[C&H2]",-0.466160
"[n&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.464877
"[c&H0&R](-[C&H2]-[C&H0]-[O&H1]):[c&H0&R]",-0.464229
"[N&H0&R]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.461542
"[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[n&H1&R]",-0.461124
"[O&H1]-[C&H0]-[C&H2]-[c&H0&R]:[c&H0&R]",-0.460781
"[O&H1]-[C&H0](=[O&H0])-[C&H1&R]-[N&H1&R]",-0.458767
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.455563
"[c&H0&R]-[C&H1]-[C&H0]-[O&H1]",-0.454464
"[c&H0&R](-[C&H2]-[C&H0]-[O&H1]):[c&H0&R2]",-0.446801
"[N&H2]-[C&H2]-[C&H0](-[O&H1])-[c&H0&R]",-0.445489
