fragment,contribution
"[C&H0](=[N&H1])-[N&H2]",-0.689345
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.627450
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[C&H2]",-0.596640
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[c&H0&R]",-0.595986
"[C&H0](=[N&H1])-[N&H1]",-0.580514
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.576701
"[c&H0&R]-[C&H0](=[N&H1])-[N&H2]",-0.566170
"[C&H0](=[N&H1])-[N&H1]-[C&H2]",-0.554693
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[N&H2]",-0.552272
"[C&H0](=[N&H1])-[N&H1]-[c&H0&R]",-0.551976
"[c&H0&R2]-[N&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.530800
"[C&H0](=[N&H1])-[N&H1]-[S&H0]",-0.527940
"[C&H3]-[C&H0](=[N&H1])-[N&H0&R]-[C&H2&R]",-0.527187
"[C&H3]-[C&H0](=[N&H1])-[N&H1]",-0.525330
"[C&H0](=[N&H1])-[N&H1]-[c&H0&R]:[c&H1&R]",-0.520638
"[C&H0](=[N&H1])-[N&H1]-[C&H2]-[c&H0&R]",-0.519221
"[C&H0](=[N&H1])-[N&H0&R]",-0.518564
"[c&H0&R2]:[n&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.516028
"[C&H0](=[N&H1])-[N&H1]-[C&H0]",-0.508913
"[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R]",-0.508151
"[C&H0](=[N&H1])-[N&H1]-[c&H0&R]:[s&H0&R]",-0.503509
"[C&H2&R]-[C&H1&R]-[C&H2]-[C&H0]-[O&H1]",-0.502010
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.490727
"[c&H0&R2]:[c&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.486778
"[C&H0](=[N&H1])-[N&H1]-[S&H0]=[O&H0]",-0.481645
"[C&H3]-[C&H0](-[N&H2])-[N&H2]",-0.478705
"[C&H0](=[N&H1])-[N&H1]-[S&H0]-[N&H2]",-0.478418
"[C&H0&R3]-[N&H1]-[C&H2]-[C&H0]=[O&H0]",-0.478029
"[c&H0&R]-[O&H0]-[C&H2]-[C&H0]=[O&H0]",-0.475636
"[n&H0&R]-[C&H2]-[C&H2]-[C&H0]-[C&H0]",-0.474459
"[c&H0&R]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.474089
"[c&H0&R]-[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.468539
"[C&H2&R]-[C&H1&R]-[C&H2]-[C&H0]-[N&H2]",-0.465095
"[C&H2&R2]-[C&H0&R3]-[C&H2]-[C&H0]-[O&H1]",-0.463763
"[C&H3]-[C&H0](=[N&H1])-[c&H0&R]:[c&H1&R]",-0.463408
"[c&H0&R]-[O&H0]-[C&H1]-[C&H0]-[O&H1]",-0.461759
"[c&H1&R]:[c&H0&R](-[C&H0]-[O&H1])-[O&H1]",-0.456191
"[C&H2]-[C&H0](=[N&H1])-[N&H1]",-0.450308
"[C&H2]-[C&H1](-[N&H2])-[C&H2]-[c&H0&R]",-0.441791
"[c&H1&R]:[n&H0&R]-[C&H2]-[C&H0]=[O&H0]",-0.440680
"[C&H3]-[C&H0](=[N&H1])-[c&H0&R]",-0.438829
"[n&H0&R]:[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1]",-0.437391
"[C&H3]-[C&H0](=[N&H1])-[N&H1]-[S&H0]",-0.436863
"[C&H3]-[C&H0](=[N&H1])-[c&H0&R]:[s&H0&R]",-0.424756
"[c&H1&R]:[c&H0&R](-[N&H2]):[c&H1&R]:[c&H1&R]",-0.420488
"[c&H0&R]-[O&H0]-[C&H0]-[C&H0]-[O&H1]",-0.417845
"[c&H1&R]:[c&H0&R](-[N&H2]):[c&H0&R2]-[C&H2&R]",-0.416867
"[C&H0]-[C&H2]-[C&H2]-[C&H0]-[O&H1]",-0.415051
"[c&H0&R]-[C&H1]-[C&H2]-[C&H0]-[O&H1]",-0.412710
"[C&H1&R]-[C&H1&R]-[C&H2]-[C&H0]-[O&H1]",-0.412578
"[C&H3]-[C&H1](-[N&H2])-[C&H2]-[O&H0]",-0.407768
"[C&H2]-[C&H0&R]-[C&H2]-[C&H0]-[O&H1]",-0.406849
