fragment,contribution
"[N&H2]-[N&H1]-[C&H2]",-0.741144
"[N&H2]-[N&H1]-[C&H2]-[C&H2]",-0.699842
"[N&H2]-[C&H2]-[C&H2]",-0.665131
"[N&H2]-[C&H0]=[N&H1]",-0.654956
"[O&H1]-[C&H0]=[O&H0]",-0.635989
"[N&H2]-[C&H2]",-0.629496
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H1&R3])-[C&H2&R2]",-0.622132
"[N&H2]-[C&H0&R3](-[C&H2&R2]-[C&H2&R2])-[C&H2&R2]",-0.620051
"[N&H2]-[N&H1]",-0.603392
"[C&H1]-[N&H2]",-0.563845
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.554595
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H2&R2]",-0.551656
"[C&H3]-[C&H0]=[N&H1]",-0.551160
"[C&H0]=[N&H1]",-0.548363
"[N&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2]",-0.544618
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.541611
"[N&H1]-[N&H2]",-0.508026
"[N&H2]-[C&H0&R3](-[C&H2&R2])(-[C&H2&R2])-[C&H2&R2]",-0.505334
"[N&H1]-[C&H0](=[N&H1])-[N&H2]",-0.503769
"[C&H0](=[N&H1])-[N&H2]",-0.503163
"[N&H2]-[C&H0&R3]-[C&H2&R2]",-0.493283
"[O&H1]-[C&H0]",-0.486142
"[C&H0&R3]-[N&H2]",-0.472245
"[C&H3]-[N&H1]-[C&H2]-[C&H2]",-0.468003
"[c&H0&R]=[N&H1]",-0.466337
"[N&H2]-[C&H0&R3]-[C&H2&R2]-[C&H1&R3]-[C&H2&R2]",-0.458754
"[C&H0](=[N&H0])/[N&H2]",-0.457871
"[C&H1&R]-[N&H2]",-0.456617
"[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1]",-0.455203
"[C&H2]-[N&H2]",-0.452065
"[C&H1]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.450130
"[N&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",-0.449409
"[C&H0](=[N&H0]/[O&H1])/[N&H2]",-0.448637
"[O&H0]-[C&H2]-[C&H0]-[O&H1]",-0.443840
"[c&H0&R]/[C&H0](=[N&H0]/[O&H1])-[N&H2]",-0.442672
"[C&H0](=[O&H0])-[O&H1]",-0.432198
"[C&H3]-[C&H1]-[N&H1]-[C&H2]-[C&H2]",-0.426740
"[C&H2]-[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.424361
"[c&H0&R]/[C&H0](=[N&H0])-[N&H2]",-0.423283
"[C&H3]-[N&H1]-[C&H1](-[C&H3])-[C&H1]",-0.421551
"[N&H1]-[C&H0]=[N&H1]",-0.421242
"[C&H0]-[O&H1]",-0.420388
"[C&H2]-[N&H1]-[C&H1](-[C&H3])-[C&H3]",-0.417171
"[N&H2]-[N&H1]-[C&H2]-[C&H2]-[c&H0&R]",-0.411411
"[C&H2]-[C&H0]=[N&H1]",-0.410526
"[C&H0&R]-[N&H2]",-0.405132
"[O&H1]-[C&H0]-[C&H2]-[C&H0]=[O&H0]",-0.401140
"[C&H1]/[N&H0]=[c&H0&R]",-0.400905
"[O&H1]-[C&H0](=[O&H0])-[C&H2]-[O&H0]",-0.398073
"[C&H3]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.396222
"[O&H1]-[B&H0]-[O&H1]",-0.394702
"[B&H0&R]-[O&H1]",-0.393877
"[C&H1]-[O&H1]",-0.393364
"[C&H2&R]-[N&H1&R]",-0.393212
"[O&H0]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.392456
"[O&H0]-[C&H0]-[C&H0](=[O&H0])-[O&H1]",-0.392091
"[O&H1]-[C&H0]-[C&H2]-[O&H0]-[c&H0&R]",-0.390503
"[O&H0]-[C&H0]-[C&H0]-[O&H1]",-0.390265
"[C&H3]-[C&H1](-[N&H2])-[C&H2]",-0.388887
"[N&H2]-[C&H2]-[C&H0]-[O&H1]",-0.382755
"[C&H3]-[C&H1]-[N&H2]",-0.377702
"[N&H1]-[O&H1]",-0.373556
"[N&H1]-[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.373307
"[N&H1]-[C&H1&R2]-[C&H2&R2]-[N&H0&R3]-[C&H2&R2]",-0.369885
"[C&H2]/[N&H0]=[c&H0&R]",-0.368308
"[C&H1]-[C&H0](=[O&H0])-[O&H1]",-0.365307
