fragment,contribution
"[O&H1]-[C&H0]=[O&H0]",-1.063340
"[C&H0]=[N&H1]",-0.760371
"[C&H0](=[O&H0])-[O&H1]",-0.704574
"[C&H0](=[N&H1])-[N&H2]",-0.703870
"[O&H1]-[C&H0]",-0.615901
"[C&H0]-[O&H1]",-0.609267
"[N&H2]-[C&H0]=[N&H1]",-0.494505
"[C&H1]-[O&H1]",-0.476681
"[C&H0]=[N&H0][O&H1]",-0.471274
"[C&H1]-[C&H2]-[O&H1]",-0.458903
"[C&H3]-[C&H0]=[N&H1]",-0.450086
"[N&H1&R]",-0.432628
"[C&H0](=[N&H0])[N&H2]",-0.431556
"[c&H0&R]=[N&H1]",-0.424277
"[N&H1&R]-[C&H2&R]",-0.423962
"[C&H1]-[C&H2]-[C&H2]-[O&H1]",-0.411743
"[S&H0]=[N&H1]",-0.408101
"[C&H0]-[C&H2]-[O&H1]",-0.370970
"[O&H1]-[S&H0]=[N&H1]",-0.359624
"[N&H2]-[C&H2]",-0.347453
"[N&H2]",-0.346674
"[O&H1]",-0.345608
"[C&H0](=[N&H1])-[N&H1]-[S&H0]=[O&H0]",-0.340706
"[N&H2]-[C&H2]-[C&H2]",-0.336120
"[C&H0](=[N&H1])-[N&H1]-[S&H0]-[N&H2]",-0.316356
"[N&H0]=[c&H0&R][c&H0&R2]:[c&H1&R]",-0.310072
"[N&H1]-[O&H1]",-0.301367
"[N&H1&R]-[c&H0&R2]",-0.296424
"[N&H0]=[c&H0&R][c&H0&R2]",-0.291792
"[N&H1]-[C&H2]-[C&H2]-[O&H1]",-0.287150
"[C&H2]-[C&H0]=[N&H1]",-0.285998
"[C&H3]-[N&H1]-[C&H2]-[C&H2]-[C&H2]",-0.285578
"[c&H1&R]:[c&H0&R](=[N&H0&+]-[C&H3]):[c&H1&R]",-0.284508
"[B&H0&R]-[O&H1]",-0.280272
"[B&H0]-[O&H1]",-0.280272
"[C&H3]-[C&H2]-[C&H2]-[C&H2]-[C&H2]",0.277331
"[N&H0]=[c&H0&R][c&H1&R]:[c&H1&R]",-0.276015
"[N&H1]-[C&H0]=[N&H1]",-0.272737
"[N&H0]=[c&H0&R][c&H1&R]:[c&H1&R]:[n&H0&R]",-0.269021
"[C&H0](=[N&H0]\[O&H1])\[N&H2]",-0.265132
"[N&H2]-[C&H2]-[C&H2]-[C&H2]",-0.264736
"[N&H1]-[C&H2]-[C&H2]-[N&H2]",-0.254171
"[c&H0&R](=[N&H0&+]-[C&H3]):[c&H1&R]:[c&H0&R2]",-0.254112
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H1]",-0.253826
"[c&H0&R]=[N&H0&+]-[C&H3]",-0.253746
"[C&H3]-[C&H2]-[C&H2]-[C&H2]-[c&H0&R]",0.249908
"[c&H0&R]=[S&H0]",-0.244279
"[C&H3]-[N&H1]-[C&H2]-[C&H1]-[O&H1]",-0.243478
"[N&H0]=[c&H0&R][c&H1&R]",-0.242311
"[C&H1&R]1-[C&H2&R]-[C&H2&R]-[C&H2&R]-[C&H2&R]-1",0.240027
"[N&H0&R2]-[C&H2]-[C&H2]-[C&H2]-[F&H0]",-0.236230
"[c&H0&R](=[N&H0&+]-[C&H3]):[c&H1&R]",-0.234442
"[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H0]",-0.234132
