fragment,coefficient
[C&H0]-[O&H1],-0.627987802028656
[S&H0]=[O&H0],-0.3506197929382324
[N&H1]-[c&H0&R],0.2719999849796295
[C&H0]-[F&H0],0.2546778619289398
[c&H0&R]-[c&H0&R],0.2513805329799652
[C&H2]-[C&H0],-0.24570757150650024
[C&H3]-[C&H0],-0.24399486184120178
[C&H2&R]-[N&H1&R],-0.2368290275335312
[c&H0&R2]:[c&H0&R2],0.22271202504634857
[C&H2]-[C&H0]-[O&H1],-0.21660976111888885
[c&H0&R]-[Cl&H0],0.20277555286884308
[c&H0&R]-[S&H0],0.2009570449590683
[N&H1]-[S&H0],-0.1985352784395218
[C&H1]-[O&H1],-0.19758987426757812
[S&H0]-[C&H2],0.17585450410842896
[c&H0&R]-[N&H1],0.17299675941467285
[C&H1]-[c&H0&R],0.17070376873016357
[C&H0]-[C&H3],0.16716498136520386
[C&H0]=[N&H1],-0.16463926434516907
[C&H2]-[C&H1]-[O&H1],-0.16227635741233826
[C&H0](=[O&H0])-[O&H1],-0.16214075684547424
[C&H0]-[N&H1]-[C&H1&R],-0.1600966900587082
[C&H3]-[C&H0]-[C&H2],-0.16006629168987274
[N&H1]-[C&H2],-0.15710601210594177
[C&H0&R]-[N&H1&R],-0.1481308788061142
[c&H1&R]:[c&H0&R],0.14790919423103333
[C&H2]-[N&H2],-0.1461648941040039
[C&H3]-[N&H1],-0.14301078021526337
[c&H0&R]:[o&H0&R],0.14130280911922455
[C&H2&R]-[C&H2&R],0.14084893465042114
[C&H2]-[N&H0]-[C&H0],0.1399611234664917
[C&H0]-[C&H2]-[O&H0],-0.13787539303302765
[C&H2]-[C&H0&R3]-[C&H2&R2],0.13663432002067566
[c&H0&R]-[N&H0&R],0.13642093539237976
[c&H0&R2]:[s&H0&R],0.13254402577877045
[c&H0&R2]-[O&H0&R],-0.13252612948417664
[C&H1]-[C&H0],-0.129621222615242
[C&H1&R]-[O&H0&R],-0.1279066801071167
[C&H3]-[C&H0]-[N&H1],-0.12747521698474884
[C&H1]-[N&H0&R],0.12598446011543274
[C&H2]-[C&H1]-[N&H1],-0.12475691735744476
[C&H1]-[C&H2],0.1237371489405632
[C&H3]-[C&H0]-[c&H0&R],-0.12372826784849167
[C&H0]-[C&H0],0.12094259262084961
[c&H0&R]:[c&H1&R],0.11947979032993317
[C&H3]-[c&H0&R]:[c&H1&R],0.11810439079999924
[O&H0&R]-[C&H2&R],-0.11635619401931763
[C&H2]-[N&H0]-[C&H2],-0.11615846306085587
[C&H2&R]-[C&H0&R],-0.11614936590194702
[C&H2]-[C&H1],0.11592575162649155
