fragment,coefficient
[C&H0]-[O&H1],-1.245315670967102
[C&H2&R]-[N&H1&R],-0.8404385447502136
[C&H3]-[C&H0]-[C&H2],-0.7877681255340576
[C&H2]-[C&H1]-[N&H0&R],0.7013056874275208
[C&H2]-[N&H2],-0.654143214225769
[C&H0]=[N&H1],-0.642632246017456
[O&H0]-[C&H2]-[C&H0],-0.6220318078994751
[N&H1]-[S&H0],-0.5693135261535645
[C&H2]-[N&H0]-[C&H2],-0.5557589530944824
[C&H1]-[N&H2],-0.5552842020988464
[C&H2]-[C&H1]-[O&H1],-0.5514751672744751
[S&H0]=[O&H0],-0.5387383699417114
[C&H1&R]-[N&H1],-0.5355204343795776
[C&H1&R]-[C&H2]-[O&H1],-0.49560287594795227
[C&H0&R]-[C&H1&R],0.48998790979385376
[C&H1]-[N&H1]-[C&H2],-0.4895900785923004
[C&H3]-[N&H0&R2],-0.46750408411026
[c&H0&R]=[O&H0],-0.46121203899383545
[C&H3]-[C&H0]=[N&H1],-0.45596927404403687
[N&H1]-[C&H0]=[N&H1],-0.44333645701408386
[C&H1]-[C&H2]-[C&H2],0.44041940569877625
[C&H0&R2]-[C&H1&R2],0.41942641139030457
[C&H2]-[N&H1]-[C&H0],-0.41515669226646423
[C&H0&R]-[C&H1],0.4105297327041626
[S&H0]-[C&H2],0.4025348424911499
[n&H1&R]:[c&H1&R],-0.39729341864585876
[C&H0&R2]-[C&H0&R],0.39228999614715576
[C&H2&R2]-[C&H0&R3]-[C&H2&R2],-0.3891278803348541
[C&H0](=[N&H1])-[c&H0&R],0.388271301984787
[C&H3]-[C&H0]=[O&H0],-0.3872258961200714
[C&H0&R]=[N&H0&R]-[C&H0&R],-0.38717472553253174
[S&H0]-[N&H2],-0.3863488435745239
[C&H1]=[C&H1],0.3855448067188263
[N&H1]-[C&H2]-[C&H0&R3],0.3817194104194641
[N&H1]-[S&H0]=[O&H0],-0.37603437900543213
[C&H1]-[S&H0],0.3756697177886963
[C&H0&R2]-[C&H3],0.3711446225643158
[C&H2]-[C&H1]-[O&H0],-0.3696916997432709
[C&H0]-[F&H0],0.3687143325805664
[C&H2]-[N&H1]-[C&H2],-0.3671134412288666
[c&H0&R]-[N&H0&+]=[O&H0],-0.3621525466442108
[N&H1]-[C&H0]-[N&H2],-0.36063051223754883
[C&H3]-[C&H0]-[F&H0],0.3588651418685913
[S&H0]-[c&H0&R],0.3524011969566345
[C&H1&R2]-[C&H2&R],-0.3518141806125641
[S&H0]-[C&H1],0.351109117269516
[C&H1&R]-[C&H3],-0.34891870617866516
[C&H0&R]-[N&H1&R],-0.34815168380737305
[C&H2]-[C&H2]-[O&H1],-0.34794965386390686
[C&H2]-[C&H1]-[C&H2],-0.3471753001213074
