fragment,coefficient
[C&H0]-[O&H1],-0.200326070189476
[C&H0](=[O&H0])-[O&H1],-0.1934492290019989
[c&H0&R]-[C&H0](=[O&H0])-[O&H1],-0.1846586912870407
[c&H0&R]-[C&H0]-[O&H1],-0.18271425366401672
[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.1643608659505844
[c&H1&R]:[c&H0&R]-[C&H0](=[O&H0])-[O&H1],-0.15733376145362854
[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.15416467189788818
[C&H2]-[C&H2],-0.14724190533161163
[C&H1]-[C&H0](=[O&H0])-[O&H1],-0.13262499868869781
[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1],-0.13185037672519684
[C&H2]-[C&H0]=[O&H0],-0.12886866927146912
[S&H0](=[O&H0])=[O&H0],-0.127911776304245
[C&H1]-[C&H0]-[O&H1],-0.1274857223033905
[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1],-0.12525111436843872
[C&H0]-[F&H0],0.12035977095365524
[c&H1&R]:[c&H1&R]:[c&H0&R]-[Cl&H0],0.11887858062982559
[c&H0&R2]:[c&H0&R2]:[c&H1&R]:[c&H1&R],0.11798349022865295
[c&H1&R]:[n&H0&R]:[c&H1&R],-0.11593426018953323
[c&H1&R]:[c&H0&R](:[c&H1&R])-[c&H0&R],0.11565235257148743
[C&H2]-[C&H1]-[O&H1],-0.11368521302938461
[C&H2&R]-[N&H1&R]-[C&H2&R],-0.11289457976818085
[C&H2]-[N&H1]-[C&H2],-0.11191044002771378
[c&H1&R]:[c&H1&R]:[c&H0&R]-[S&H0],0.11121422052383423
[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H0&R2]:[c&H1&R],0.10859520733356476
[c&H0&R2]:[c&H0&R2]:[c&H1&R],0.10856824368238449
[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R],-0.10653955489397049
[C&H3]-[C&H0]=[N&H1],-0.10556568950414658
[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R],-0.10442289710044861
[N&H0]-[C&H0]=[O&H0],0.1036643236875534
[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H0&R2]:[c&H0&R2],0.10366214066743851
[N&H1]-[S&H0]=[O&H0],-0.10326744616031647
[C&H0]-[c&H0&R]:[c&H1&R],0.10262232273817062
[c&H1&R]:[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1],-0.10060381144285202
[c&H0&R]-[S&H0]=[O&H0],-0.10051857680082321
[c&H0&R]:[n&H0&R]:[c&H0&R](:[n&H0&R])-[N&H2],-0.10050375759601593
[c&H1&R]:[c&H1&R]:[c&H0&R]:[c&H1&R]:[c&H1&R],0.10047298669815063
[c&H0&R2]:[c&H0&R],-0.10034441947937012
[c&H1&R]:[c&H1&R]:[c&H0&R]-[C&H1],0.1001327633857727
[C&H3]-[C&H1]-[C&H3],0.10013057291507721
[c&H0&R]:[n&H0&R]:[c&H0&R2]:[c&H0&R2]:[n&H0&R],0.09973708540201187
[c&H0&R]-[O&H0]-[C&H2]-[c&H0&R],0.09887886047363281
[c&H0&R]:[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1],-0.09800760447978973
[S&H0]=[O&H0],-0.09800009429454803
[c&H0&R]-[O&H0]-[C&H2]-[c&H0&R]:[c&H1&R],0.09779578447341919
[C&H0](-[F&H0])(-[F&H0])-[F&H0],0.09731107950210571
[c&H0&R2]:[c&H1&R]:[c&H1&R]:[c&H0&R],0.09690684080123901
[c&H1&R]:[c&H1&R]:[c&H0&R]-[F&H0],0.09670606255531311
[c&H0&R]:[s&H0&R],0.09649696201086044
[c&H0&R]:[c&H0&R]-[C&H0],0.0953187420964241
[C&H3]-[C&H0]-[N&H1],-0.09437862038612366
