fragment,coefficient
[C&H0](=[O&H0])-[O&H1],-0.22326640784740448
[C&H3]-[C&H0]=[O&H0],-0.19850076735019684
[C&H0]-[O&H1],-0.17446792125701904
[Cl&H0],0.15084876120090485
[S&H0]=[O&H0],-0.14600124955177307
[C&H3]-[C&H0],-0.1455603390932083
[C&H1],0.13772620260715485
[C&H3]-[N&H2],-0.12240304797887802
[n&H0&R2]:[c&H0&R2]:[n&H0&R2],-0.12145626544952393
[C&H1]-[N&H2],-0.12116287648677826
[C&H3]-[O&H0&R],0.1205139309167862
[C&H3],0.11904025822877884
[C&H1]-[C&H0](=[O&H0])-[O&H1],-0.11575055867433548
[N&H2],-0.1135789304971695
[C&H3]-[O&H1],-0.1131187304854393
[C&H0](=[O&H0])-[C&H1],-0.1119685173034668
[C&H1]-[C&H0]-[O&H1],-0.10996009409427643
[N&H1]-[C&H2],-0.10832860320806503
[C&H2&R]-[C&H2&R]-[O&H0&R]-[C&H2&R]-[O&H0&R],0.10748935490846634
[C&H2],0.10664896667003632
[C&H0],0.10645098239183426
[C&H3]-[C&H0]=[N&H0],-0.10388148576021194
[C&H1](-[C&H1]-[N&H2])-[N&H2],-0.10226628184318542
[C&H1&R]-[C&H2],-0.10202279686927795
[C&H0]=[N&H0],-0.10191313922405243
[C&H2]-[C&H0]-[O&H1],-0.10113471001386642
[C&H3]-[C&H0](=[O&H0])-[C&H1],-0.10069690644741058
[c&H0&R]:[c&H1&R]:[c&H1&R],-0.09922654181718826
[N&H0]-[C&H1],-0.09906705468893051
[C&H2]-[O&H1],-0.09771155565977097
[O&H0]-[C&H1],0.09707695245742798
[C&H1]-[C&H1](-[C&H1])-[O&H1],-0.0954117402434349
[C&H2]-[C&H0](=[O&H0])-[O&H1],-0.09529219567775726
[C&H3]-[N&H1],-0.09434105455875397
[C&H1&R],0.09295332431793213
[S&H0](=[O&H0])-[N&H2],-0.09239586442708969
[C&H3]-[C&H1]-[n&H0&R2],-0.09073537588119507
[C&H3]-[C&H0](=[O&H0])-[C&H2],-0.09038713574409485
[C&H2]-[C&H2]-[C&H2],0.08989247679710388
[C&H2&R]-[C&H0&R],-0.08961841464042664
[O&H0]-[C&H1]-[O&H1],-0.0894533321261406
[c&H0&R2](:[c&H0&R2]:[c&H0&R2]):[c&H0&R2]:[c&H0&R2],0.08879996836185455
[S&H0](=[O&H0])=[O&H0],-0.08443131297826767
[c&H0&R]-[C&H0](=[O&H0])-[O&H1],-0.08416105061769485
[C&H0]-[C&H3],0.08400740474462509
[O&H0&R]-[O&H0&R]-[O&H0&R],0.08389215916395187
[N&H0&R](-[C&H2&R])-[C&H2&R]-[C&H2&R]-[C&H2&R],-0.08346286416053772
[C&H3]-[C&H0]-[C&H2]-[O&H0],-0.08336695283651352
[n&H0&R2]:[n&H0&R],-0.08290501683950424
[C&H1]-[C&H1],-0.0828910693526268
