fragment,coefficient
[C&H0]-[O&H1],-0.28518062829971313
[C&H0](=[O&H0])-[O&H1],-0.19086793065071106
[C&H0&R]=[O&H0],-0.18574227392673492
[C&H3],0.18276502192020416
[S&H0]=[O&H0],-0.1805535852909088
[N&H1]-[C&H2],-0.17486447095870972
[C&H2&R]-[N&H1&R],-0.17147035896778107
[C&H2&R]-[C&H2&R]-[C&H2&R]-[C&H2&R],0.16151811182498932
[S&H0](=[O&H0])=[O&H0],-0.15424399077892303
[C&H2]-[C&H0]=[O&H0],-0.15188820660114288
[C&H0]=[N&H0],-0.1420174241065979
[C&H2]-[S&H0],-0.1389545053243637
[C&H1]-[C&H1]-[C&H2],0.1365881711244583
[O&H0]-[C&H3],0.1290041208267212
[C&H0]=[O&H0],-0.12722904980182648
[O&H0&R]-[C&H2&R]-[C&H2&R],0.12525326013565063
[C&H1&R]-[C&H2],-0.12243218719959259
[C&H3]-[C&H0],-0.1201164573431015
[C&H3]-[C&H0]=[O&H0],-0.1173730343580246
[O&H0&R]-[C&H2&R]-[C&H0&R],-0.11654778569936752
[C&H1]-[C&H3],0.11517483741044998
[C&H3]-[C&H0]-[N&H1],-0.11437290906906128
[C&H3]-[C&H0]-[C&H2],-0.11352144181728363
[C&H0&R3](-[C&H2&R])-[C&H2&R],0.11170245707035065
[C&H3]-[C&H2]-[S&H0],-0.11134392023086548
[C&H1]-[C&H0](=[O&H0])-[O&H1],-0.11054662615060806
[C&H1]-[C&H0&R3],0.11019279807806015
[c&H0&R2]:[c&H0&R],-0.1095406785607338
[C&H0&R]-[N&H1&R],-0.10860522091388702
[c&H0&R2]:[c&H0&R2]:[c&H0&R2]:[c&H0&R2]:[c&H0&R2],0.10813505202531815
[O&H0&R]-[C&H1&R],0.10705271363258362
[C&H1]-[C&H0]-[O&H1],-0.1033206358551979
[C&H0&R]-[O&H0&R]-[C&H2&R],-0.1027006134390831
[C&H0&R3]-[C&H3],0.10265170782804489
[C&H0]-[N&H2],-0.10062195360660553
[C&H3]-[O&H0]-[O&H0]-[O&H0]-[C&H3],-0.10036569088697433
[c&H0&R2]:[c&H0&R]:[n&H0&R2],-0.10032428801059723
[C&H0]-[F&H0],0.10004710406064987
[C&H3]-[O&H0&R],0.09967771917581558
[N&H0]-[C&H2]-[C&H2],-0.09937901794910431
[C&H2&R]-[C&H2&R]-[N&H1&R],-0.09886912256479263
[O&H0&R]-[C&H0&R]=[O&H0],-0.09879297018051147
[C&H1&R](-[C&H2&R]-[C&H2&R]-[C&H2&R])-[C&H2&R],0.09855471551418304
[C&H2&R],0.09679754823446274
[C&H3]-[C&H1](-[C&H3])-[N&H1],-0.09666332602500916
[C&H2]-[N&H1],-0.09535340964794159
[c&H1&R]:[c&H1&R],-0.0944245457649231
[C&H1]-[N&H1]-[C&H2],-0.0939241498708725
[C&H0]-[C&H1],-0.09360365569591522
[S&H0](=[O&H0])-[N&H2],-0.09200415015220642
