fragment,coefficient
[C&H3]-[O&H0&R],0.23870180547237396
[S&H0]=[O&H0],-0.19799429178237915
[C&H0](=[O&H0])-[O&H1],-0.19526994228363037
[C&H0]-[O&H1],-0.17553335428237915
[C&H3]-[C&H0]=[O&H0],-0.1674175262451172
[N&H0&R]-[C&H2&R]-[C&H2&R]-[C&H2&R],-0.16546383500099182
[C&H3],0.1571289449930191
[C&H0]=[O&H0],-0.13644130527973175
[C&H1]-[C&H1]-[C&H2]-[O&H1],0.1354084014892578
[C&H3]-[C&H0],-0.1305873692035675
[O&H0]-[C&H3],0.12996576726436615
[C&H0&R]=[O&H0],-0.12988069653511047
[S&H0](=[O&H0])=[O&H0],-0.12970614433288574
[C&H2&R]-[C&H2&R]-[C&H2&R],0.1279146820306778
[C&H1]-[C&H0](=[O&H0])-[O&H1],-0.12674039602279663
[C&H1]-[O&H0]-[C&H2],-0.12287013977766037
[C&H3]-[C&H2]-[S&H0],-0.12221255898475647
[C&H1]-[C&H0]-[O&H1],-0.12110957503318787
[C&H3]-[O&H0]-[O&H0]-[O&H0]-[O&H0],-0.11913861334323883
[O&H0]-[O&H0]-[O&H0]-[O&H0]-[O&H0],0.1155109703540802
[C&H3]-[C&H3],0.1129181906580925
[C&H2]-[N&H1],-0.11176363378763199
[C&H2&R]-[C&H0&R]=[O&H0],-0.11141572147607803
[C&H2&R]-[N&H0&R](-[C&H2&R])-[C&H2&R],0.11077975481748581
[O&H0]-[O&H0]-[O&H0],0.10398004204034805
[C&H2]-[N&H1]-[C&H2],-0.10337173193693161
[C&H2&R]-[C&H0&R],-0.10279814153909683
[C&H0]-[N&H1]-[C&H2],-0.10244154930114746
[O&H0]-[C&H0](=[O&H0])-[C&H2],-0.10150926560163498
[C&H1&R]-[C&H2],-0.10044761002063751
[n&H0&R2]:[c&H0&R2],-0.10017551481723785
[C&H3]-[N&H2],-0.09882810711860657
[O&H0]-[C&H0]=[O&H0],-0.09750176221132278
[C&H2&R]-[C&H2&R]-[O&H0&R]-[C&H2&R]-[C&H2&R],0.09651575237512589
[C&H2&R]-[O&H0&R]-[C&H2&R]-[C&H2&R],0.09601771086454391
[C&H0&R3]-[C&H2&R]-[C&H2&R],-0.09538304805755615
[O&H0]-[C&H0]-[C&H2],-0.09508131444454193
[C&H2]-[C&H2]-[C&H2]-[C&H2]-[C&H2],0.0941089391708374
[C&H1&R]-[C&H2&R]-[C&H2&R]-[C&H2&R],-0.09317702054977417
[O&H0]-[C&H0&R3](-[O&H0&R])(-[O&H0&R])-[O&H0&R],0.0929216668009758
[C&H3]-[C&H1&R]-[C&H2&R],-0.0916246697306633
[C&H0]-[C&H0]-[C&H0],-0.09086864441633224
[C&H1&R],0.09012993425130844
[C&H1]-[C&H1]-[O&H1],-0.08993492275476456
[C&H3]-[C&H0]-[O&H1],-0.08956117182970047
[C&H0]-[C&H1]-[C&H1],-0.08917049318552017
[C&H3]-[N&H0&R](-[C&H2&R]-[C&H2&R])-[C&H2&R],-0.0887952446937561
[C&H0](=[O&H0])-[N&H1]-[C&H2],-0.08876074105501175
[N&H0&R]-[C&H1&R]-[C&H2&R],-0.08841664344072342
[C&H2]-[C&H1]-[O&H0],-0.08823884278535843
