fragment,coefficient
[C&H0]-[O&H1],-0.41111624240875244
[C&H0](=[O&H0])-[O&H1],-0.3360934853553772
[c&H0&R]-[C&H0](=[O&H0])-[O&H1],-0.2050255388021469
[C&H2]-[C&H0]-[O&H1],-0.1896916925907135
[C&H2]-[C&H0](=[O&H0])-[O&H1],-0.18671460449695587
[C&H2&R]-[C&H2&R]-[N&H1&R],-0.17620421946048737
[C&H0]=[N&H1],-0.17251023650169373
[C&H0]-[F&H0],0.17218925058841705
[c&H0&R]-[N&H1]-[c&H0&R],0.16572502255439758
[c&H0&R]-[S&H0]=[O&H0],-0.16375412046909332
[C&H2&R]-[N&H1&R],-0.15732073783874512
[C&H3]-[C&H0],-0.15031568706035614
[C&H1&R]-[N&H1],-0.15011419355869293
[c&H0&R]-[C&H2],0.14895634353160858
[N&H0&+](=[O&H0])-[O&H0&-],-0.14359743893146515
[C&H0&R]-[N&H1&R],-0.13908053934574127
[C&H0&R]=[O&H0],-0.1390693634748459
[c&H0&R2]:[c&H1&R],0.13829699158668518
[C&H0]-[C&H0],0.13539792597293854
[C&H1&R]-[C&H3],-0.13373354077339172
[C&H1]-[O&H1],-0.13361969590187073
[S&H0](=[O&H0])=[O&H0],-0.13162243366241455
[N&H1]-[S&H0],-0.1314803957939148
[C&H1]=[O&H0],-0.13112084567546844
[C&H0](=[O&H0])-[C&H2],-0.12968972325325012
[c&H1&R]:[c&H0&R],0.1296321600675583
[C&H2&R]-[N&H0&R],0.1288468837738037
[C&H2]-[N&H0]-[C&H0],0.12790532410144806
[c&H0&R]:[c&H0&R]:[c&H0&R],-0.12784786522388458
[c&H0&R](:[c&H1&R]):[c&H0&R](:[c&H1&R])-[Cl&H0],0.12732385098934174
[N&H1]-[C&H0]-[c&H0&R],0.1256677508354187
[C&H3]-[C&H0]-[N&H1],-0.12556122243404388
[c&H0&R]-[N&H1]-[S&H0],-0.12508830428123474
[c&H0&R](:[n&H0&R]):[s&H0&R],-0.12438524514436722
[S&H0](=[O&H0])(=[O&H0])-[c&H0&R],-0.12133196741342545
[c&H0&R]-[C&H0]-[F&H0],0.11853630840778351
[C&H1]-[N&H0&R],0.11700651794672012
[C&H1]-[c&H0&R](:[c&H1&R]):[c&H1&R],0.1161636933684349
[C&H0&R]-[N&H0&R],-0.11597005277872086
[N&H0&R2]-[C&H1&R2],-0.11576066166162491
[C&H2]-[C&H2]-[C&H0],-0.11549007147550583
[c&H1&R]:[c&H0&R]:[c&H0&R],-0.1151188462972641
[C&H0]=[O&H0],-0.11499883234500885
[c&H0&R]-[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.11472994834184647
[N&H1]-[C&H0]-[N&H2],-0.11453790217638016
[C&H0]-[N&H1]-[c&H0&R],0.1135910302400589
[C&H2&R]-[C&H2&R]-[N&H0&R],0.1135425865650177
[c&H0&R2]:[c&H1&R]:[c&H1&R],0.11323811858892441
[N&H1]-[C&H2],-0.112715944647789
[C&H2]-[C&H0&R3](-[C&H2&R2])-[C&H2&R2],0.11222359538078308
