fragment,coefficient
[c&H0&R]-[C&H0]-[O&H1],-0.33672207593917847
[C&H0]-[O&H1],-0.32714661955833435
[n&H0&R]:[c&H0&R2]:[c&H0&R2],0.2222592681646347
[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1],-0.2176550328731537
[c&H0&R]-[N&H1]-[c&H0&R],0.18974918127059937
[C&H0]=[O&H0],-0.18677587807178497
[C&H2]-[C&H0]-[O&H1],-0.1802636682987213
[c&H0&R]-[C&H0](-[F&H0])-[F&H0],0.16654035449028015
[c&H0&R]:[c&H0&R]-[N&H1]-[c&H0&R],0.16573002934455872
[c&H0&R]-[c&H0&R],0.16493737697601318
[c&H0&R]-[C&H0]=[O&H0],-0.1631825566291809
[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.16295242309570312
[c&H0&R]:[c&H1&R]:[n&H0&R],-0.15546728670597076
[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.15426436066627502
[c&H0&R]:[c&H1&R]:[c&H0&R]-[O&H0],-0.15320469439029694
[C&H1&R]-[C&H2&R]-[C&H2&R],0.15243016183376312
[C&H2]-[C&H2],-0.1472361981868744
[c&H0&R]-[C&H0](=[O&H0])-[O&H1],-0.1470160037279129
[c&H1&R]:[c&H0&R2]:[c&H0&R2]:[c&H0&R],-0.14556628465652466
[c&H0&R]-[n&H0&R]:[c&H0&R],0.14268551766872406
[c&H1&R]:[c&H0&R]-[O&H0]-[C&H2],-0.13733232021331787
[C&H2]-[C&H1]-[O&H1],-0.13575966656208038
[c&H0&R]-[N&H1]-[c&H0&R]:[c&H1&R],0.13523082435131073
[C&H0](=[O&H0])-[O&H1],-0.13421528041362762
[C&H2]-[C&H2]-[N&H1]-[C&H2],-0.13294726610183716
[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H0&R]:[c&H1&R],0.13274264335632324
[c&H0&R](:[c&H1&R]):[c&H0&R]-[C&H0],0.13082566857337952
[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H0&R]-[S&H0],0.12910020351409912
[C&H2]-[C&H2]-[N&H1],-0.12719744443893433
[c&H0&R]-[N&H1]-[S&H0],-0.12667450308799744
[n&H1&R]:[c&H0&R2]:[c&H0&R2]:[c&H1&R],-0.12651295959949493
[C&H2]-[C&H1]-[c&H0&R],0.1263144612312317
[c&H0&R]:[c&H0&R]-[N&H1]-[S&H0],-0.12601587176322937
[c&H0&R]:[n&H0&R2],0.12594176828861237
[c&H0&R]-[N&H1]-[C&H0],0.12559543550014496
[c&H0&R]-[N&H1],0.12434332072734833
[c&H0&R]-[c&H0&R]:[n&H0&R]:[c&H0&R],0.12351158261299133
[c&H0&R]-[N&H1]-[S&H0]-[c&H0&R],-0.12291163206100464
[n&H0&R]:[c&H0&R2]:[c&H0&R2]:[c&H1&R],0.12029838562011719
[c&H0&R]:[c&H0&R](:[c&H1&R])-[O&H1],-0.12008410692214966
[c&H1&R]:[c&H1&R]:[c&H0&R]-[F&H0],0.1200668215751648
[c&H0&R2]:[c&H0&R2]:[s&H0&R],0.11930547654628754
[C&H1]-[C&H0]-[O&H1],-0.11857584118843079
[c&H0&R]:[n&H0&R2]:[c&H0&R2]:[c&H1&R],0.11835484206676483
[c&H0&R2]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.11822770535945892
[C&H2]-[C&H2]-[O&H0],-0.11748377233743668
[c&H0&R]:[c&H0&R](:[c&H1&R])-[C&H2],0.11644546687602997
[C&H0]-[C&H1&R],0.11578983068466187
[O&H0]-[c&H0&R]:[c&H1&R],-0.11560024321079254
[c&H0&R]-[O&H0],-0.11539588123559952
