fragment,coefficient
[C&H0]-[O&H1],-1.6294100284576416
[O&H1]-[C&H0],-0.9168776869773865
[C&H2&R]-[N&H1&R],-0.9152473211288452
[C&H0]=[N&H1],-0.8215183615684509
[C&H1&R]-[O&H0],0.7164615392684937
[C&H2]-[N&H2],-0.6339210271835327
[S&H0]=[O&H0],-0.6314489841461182
[N&H2]-[C&H2],-0.5790596008300781
[N&H2]-[C&H1],-0.5171471238136292
[N&H1]-[C&H2]-[C&H0&R3],0.5168830156326294
[C&H1]-[c&H0&R],0.5105893611907959
[C&H3]-[C&H0&R2],0.4999672770500183
[C&H2]-[N&H1]-[C&H2],-0.49355024099349976
[C&H0](-[C&H3])-[C&H3],0.4845065474510193
[c&H0&R]-[N&H1]-[C&H2],0.47393691539764404
[C&H0&R]-[N&H0&R]-[c&H0&R],-0.46351906657218933
[O&H1]-[C&H0]=[O&H0],-0.45591747760772705
[F&H0]-[C&H0],0.45068028569221497
[O&H1]-[c&H0&R]:[n&H0&R],-0.44075629115104675
[C&H0]-[c&H0&R]:[c&H0&R],0.4348330497741699
[c&H0&R]-[c&H0&R],0.433574914932251
[c&H0&R]-[Br&H0],0.4267355501651764
[C&H0](-[O&H1])-[c&H0&R],0.4258957803249359
[C&H1]=[C&H1],0.42190659046173096
[c&H0&R]-[C&H1&R],0.42167964577674866
[C&H1&R2]-[C&H1&R2],0.42098718881607056
[Cl&H0]-[c&H0&R],0.4208122193813324
[c&H0&R]-[Cl&H0],0.4139757454395294
[C&H0]-[C&H1&R],0.408069908618927
[C&H3]-[C&H0]-[N&H1],-0.4071718752384186
[N&H0&R2]-[C&H1&R2],-0.40514785051345825
[S&H0]-[c&H0&R],0.4046298563480377
[C&H2]-[C&H1]-[O&H1],-0.4044797718524933
[C&H1&R]-[C&H3],-0.4014715254306793
[N&H2]-[C&H0]=[N&H1],-0.39895549416542053
[C&H3]-[C&H2]-[S&H0],-0.3967192769050598
[C&H0](-[C&H0])-[C&H0],0.3940923810005188
[C&H1]-[N&H1],-0.39400458335876465
[C&H2]-[N&H0]-[C&H0],0.39236658811569214
[N&H2]-[C&H2]-[C&H2],-0.3910433053970337
[n&H0&R]-[C&H2]-[C&H0],0.38426193594932556
[N&H2]-[c&H0&R],-0.38151806592941284
[C&H0]-[N&H2],-0.3814932405948639
[C&H2]-[C&H2]-[c&H0&R],0.38134536147117615
[n&H0&R]:[n&H1&R],-0.3793967366218567
[O&H0&R]-[C&H2&R],-0.37623804807662964
[C&H0]=[C&H0],0.3752378225326538
[C&H2]-[N&H1]-[S&H0],0.37364333868026733
[C&H0](=[N&H1])-[N&H2],-0.37266799807548523
[C&H1]-[O&H1],-0.371685266494751
