fragment,coefficient
[C&H0]=[N&H1],-0.6846269369125366
[C&H0](=[O&H0])-[O&H1],-0.6340509057044983
[C&H0]-[O&H1],-0.5886648893356323
[O&H1]-[C&H0]=[O&H0],-0.5771992802619934
[O&H1]-[C&H0],-0.5626316070556641
[C&H2&R]-[N&H1&R]-[C&H2&R],-0.5073394775390625
[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1],-0.5012535452842712
[N&H2]-[C&H2],-0.47890356183052063
[O&H1]-[C&H0]-[C&H2]-[O&H0],-0.44509509205818176
[N&H1]-[C&H1]-[C&H3],-0.4379010796546936
[C&H1]-[N&H1]-[C&H2],-0.40534406900405884
[C&H3]-[c&H0&R]:[c&H1&R]:[c&H1&R],0.39986586570739746
[C&H0]#[C&H0],0.38311025500297546
[F&H0]-[C&H0],0.3622068762779236
[C&H2]-[c&H0&R]:[c&H0&R]:[c&H1&R],0.36056235432624817
[C&H2](-[C&H1&R]-[C&H1&R])-[O&H1],-0.3521166741847992
[c&H0&R](:[c&H1&R]:[c&H1&R])-[S&H0],-0.3509773910045624
[C&H1]-[O&H1],-0.35080379247665405
[c&H0&R]-[c&H0&R],0.3445817530155182
[n&H0&R]:[n&H0&R]-[c&H0&R]:[c&H1&R],-0.3437710404396057
[n&H0&R]:[c&H0&R]-[c&H0&R]:[c&H1&R]:[c&H1&R],-0.3417696952819824
[N&H1]-[C&H1]-[c&H0&R],0.3415195941925049
[C&H2]-[N&H2],-0.3405402600765228
[N&H2]-[c&H0&R],-0.3340623080730438
[C&H0&R3](-[C&H2&R2])-[C&H2&R2],0.3316539525985718
[C&H2]-[N&H1]-[C&H2],-0.3292188048362732
[c&H0&R]-[Br&H0],0.32767367362976074
[C&H2&R]-[C&H2&R]-[N&H1&R],-0.32574936747550964
[C&H2&R]-[N&H1&R],-0.32481351494789124
[C&H2]-[C&H0](=[O&H0])-[O&H1],-0.32311269640922546
[C&H2]-[C&H0]-[O&H1],-0.32018205523490906
[C&H2]-[C&H1](-[N&H1]-[C&H0])-[c&H0&R],0.3178417980670929
[c&H1&R]:[c&H0&R]-[N&H2],-0.31726735830307007
[C&H3]-[c&H0&R]:[c&H0&R]:[c&H1&R],0.31625258922576904
[C&H0](=[O&H0])-[C&H2]-[c&H0&R]:[c&H1&R],-0.3146383464336395
[C&H1]-[N&H1],-0.3146022856235504
[N&H0&R2]-[C&H1&R2],-0.3129943311214447
[N&H0&R]-[c&H0&R](:[c&H1&R]):[c&H1&R],-0.3110656440258026
[c&H1&R]:[c&H0&R]-[C&H0](=[O&H0])-[O&H1],-0.3105531930923462
[c&H0&R2]:[c&H0&R2]:[c&H0&R2]:[c&H1&R],0.308592826128006
[n&H0&R]:[c&H0&R]:[n&H1&R],-0.30538660287857056
[C&H2]-[S&H0]-[c&H0&R],0.3025633692741394
[N&H0]-[S&H0]-[c&H0&R],0.3013041913509369
[c&H1&R]:[c&H0&R]-[C&H2]-[O&H1],0.29518404603004456
[C&H3]-[C&H2]-[N&H0]-[C&H2]-[C&H3],-0.2946355938911438
[O&H0]-[C&H0]-[C&H1]-[C&H2],-0.2945950925350189
[C&H0&R2]-[C&H1&R2],0.29198920726776123
[O&H0]-[C&H2]-[C&H0]-[O&H1],-0.2918718755245209
[C&H2]-[N&H1]-[C&H0]=[O&H0],0.2912309467792511
[C&H0]-[C&H3],0.29012933373451233
