fragment,coefficient
[C&H0](=[O&H0])-[O&H1],-0.6108033061027527
[O&H1]-[C&H0]=[O&H0],-0.5606971979141235
[N&H2],-0.5293612480163574
[C&H0]=[N&H1],-0.5008848905563354
[O&H1],-0.48518213629722595
[O&H1]-[C&H0],-0.39107316732406616
[C&H0]-[O&H1],-0.3626308739185333
[C&H3]-[N&H1],-0.3259924650192261
[O&H1]-[C&H0](=[O&H0])-[C&H2],-0.2765451967716217
[N&H2]-[C&H2],-0.27479368448257446
[C&H2&R]-[N&H1&R],-0.2711365818977356
[Br&H0],0.2622528374195099
[C&H3]-[C&H2]-[C&H2],0.24561136960983276
[N&H1&R],-0.2360060214996338
[N&H2]-[C&H2]-[C&H2],-0.2251271903514862
[Cl&H0],0.22050267457962036
[C&H2]-[C&H0](=[O&H0])-[O&H1],-0.2142573446035385
[C&H1](-[C&H3])-[C&H3],0.21206359565258026
[C&H2&R]-[N&H1&R]-[C&H2&R],-0.19942770898342133
[C&H3]-[C&H2]-[C&H2]-[C&H2],0.19910456240177155
[C&H0](-[C&H3])-[C&H3],0.19411805272102356
[F&H0],0.1932895928621292
[O&H1]-[C&H0](=[O&H0])-[c&H0&R]:[c&H1&R],-0.19070713222026825
[S&H0]=[O&H0],-0.18599380552768707
[C&H0](=[O&H0])-[C&H2],-0.18465274572372437
[O&H1]-[C&H0](=[O&H0])-[c&H0&R],-0.18306536972522736
[N&H1]-[C&H2]-[C&H2],-0.18256524205207825
[C&H2]-[N&H2],-0.18172776699066162
[C&H0](=[O&H0])-[c&H0&R](:[c&H1&R]):[c&H1&R],-0.18167228996753693
[C&H2]-[C&H1]-[O&H0],-0.18012158572673798
[C&H2]-[C&H1&R]-[C&H2&R]-[C&H2&R]-[C&H2&R],0.17994460463523865
[c&H0&R]=[O&H0],-0.17993248999118805
[C&H1](-[C&H2])-[N&H1],-0.17926988005638123
[C&H3]-[C&H2],0.17702949047088623
[C&H2&R]-[C&H2&R]-[N&H1&R],-0.17585599422454834
[C&H0](=[N&H1])-[N&H1],-0.17582812905311584
[O&H0]-[C&H2]-[C&H0]-[O&H1],-0.1746123731136322
[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1],-0.1746123731136322
[O&H0]-[C&H2]-[C&H0](=[O&H0])-[O&H1],-0.1746123731136322
[C&H3]-[c&H0&R]:[n&H0&R],-0.17355690896511078
[S&H0](=[O&H0])=[O&H0],-0.1729828119277954
[O&H1]-[c&H0&R]:[c&H1&R],0.17234310507774353
[Cl&H0]-[c&H0&R]:[c&H1&R]:[c&H1&R],0.17061764001846313
[N&H2]-[C&H0]=[N&H1],-0.1698390394449234
[c&H0&R]-[C&H0](=[O&H0])-[O&H1],-0.16863153874874115
[C&H2]-[c&H0&R](:[c&H1&R]):[c&H1&R]:[c&H1&R],0.16763101518154144
[N&H1]-[C&H0]=[N&H1],-0.16745859384536743
[C&H0](-[C&H3])(-[C&H3])-[C&H3],0.1643831878900528
[C&H0](-[c&H0&R])-[c&H0&R](:[c&H1&R]):[c&H1&R],0.16314271092414856
[O&H0&-],-0.16192632913589478
