fragment,coefficient
[C&H0](=[O&H0])-[O&H1],-0.7102749943733215
[O&H1]-[C&H0]=[O&H0],-0.6219900846481323
[C&H0]=[N&H1],-0.5620267391204834
[C&H0]-[O&H1],-0.4916180670261383
[O&H1]-[C&H0],-0.4669911861419678
[N&H2]-[C&H2],-0.38441503047943115
[C&H2&R]-[N&H1&R],-0.3528924286365509
[C&H3]-[N&H1],-0.330557256937027
[C&H2&R]-[N&H1&R]-[C&H2&R],-0.3211398124694824
[C&H2]-[N&H2],-0.29946690797805786
[O&H1]-[C&H0](=[O&H0])-[C&H2],-0.2897784113883972
[N&H2]-[C&H2]-[C&H2],-0.27067267894744873
[c&H0&R]-[C&H0],0.25884726643562317
[c&H0&R]-[Br&H0],0.24945905804634094
[c&H0&R]-[c&H0&R],0.24935579299926758
[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.24413171410560608
[C&H3]-[C&H2],0.24008771777153015
[C&H2]-[O&H1],-0.23644742369651794
[C&H0]=[C&H0],0.2340090274810791
[C&H3]-[C&H2]-[C&H2],0.23225969076156616
[C&H0]-[Cl&H0],0.23012517392635345
[C&H2]-[C&H0](=[O&H0])-[O&H1],-0.22816316783428192
[C&H2]-[C&H2]-[N&H1]-[C&H2]-[C&H2],-0.2260545790195465
[C&H0](=[O&H0])-[c&H0&R](:[c&H1&R]):[c&H1&R],-0.22519825398921967
[N&H2]-[C&H0],-0.22379131615161896
[C&H2&R]-[C&H2&R]-[N&H1&R],-0.22367741167545319
[N&H1]-[C&H2]-[C&H2],-0.22290170192718506
[N&H2]-[C&H0]=[N&H1],-0.21636497974395752
[Cl&H0]-[c&H0&R]:[c&H1&R],0.21409615874290466
[C&H0](-[C&H3])(-[C&H3])-[C&H3],0.21330754458904266
[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R],-0.2100437879562378
[c&H0&R2]:[c&H0&R2],0.2054365575313568
[N&H2]-[N&H1],-0.20442824065685272
[Cl&H0]-[c&H0&R],0.20376089215278625
[C&H2&R]-[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R],-0.20255671441555023
[N&H1]-[C&H2]-[C&H2]-[C&H2]-[O&H0],-0.2024313509464264
[Cl&H0]-[c&H0&R]:[c&H1&R]:[c&H1&R],0.1989305317401886
[C&H0](=[N&H1])-[N&H1],-0.19887176156044006
[C&H1]-[O&H1],-0.19817021489143372
[C&H3]-[C&H1]-[C&H3],0.1979842633008957
[C&H2]-[C&H0]-[O&H1],-0.19687919318675995
[C&H0]-[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.19393302500247955
[C&H1](-[C&H3])-[C&H3],0.1906515508890152
[c&H1&R]:[c&H0&R]-[Br&H0],0.18918485939502716
[O&H1]-[C&H0](=[O&H0])-[c&H0&R],-0.18873319029808044
[c&H1&R]:[c&H0&R](-[Cl&H0]):[c&H1&R],0.18656760454177856
[O&H1]-[C&H0]-[C&H2],-0.18641404807567596
[C&H2]-[C&H1]-[O&H0],-0.18641220033168793
[C&H3]-[C&H2]-[C&H2]-[C&H2],0.1863323301076889
[C&H2]-[C&H1](-[C&H3])-[C&H3],0.1862499862909317
