fragment,coefficient
[C&H0](=[O&H0])-[O&H1],-0.3179472088813782
[O&H1]-[C&H0]=[O&H0],-0.3107702136039734
[C&H0]-[O&H1],-0.2959944009780884
[C&H2&R]-[N&H1&R],-0.1627892106771469
[O&H1]-[C&H0],-0.14760921895503998
[N&H1&R],-0.14712612330913544
[O&H1]-[C&H0](=[O&H0])-[C&H2],-0.14379282295703888
[C&H2]-[C&H0](=[O&H0])-[O&H1],-0.13765262067317963
[C&H3]-[C&H2],0.12832388281822205
[c&H0&R]-[C&H0]-[O&H1],-0.12725074589252472
[C&H2&R]-[C&H2&R]-[N&H1&R],-0.1271754652261734
[c&H1&R]:[c&H0&R]-[C&H0](=[O&H0])-[O&H1],-0.12642395496368408
[S&H0]=[O&H0],-0.12429288774728775
[C&H0]=[N&H1],-0.1226535439491272
[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1],-0.12091940641403198
[C&H2&R]-[N&H1&R]-[C&H2&R],-0.12063851207494736
[C&H0](-[F&H0])-[F&H0],0.12024831026792526
[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.1188749149441719
[c&H0&R]-[C&H0](=[O&H0])-[O&H1],-0.11826757341623306
[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H1&R]:[c&H1&R],0.11806321144104004
[C&H3]-[C&H1]-[C&H3],0.11720670014619827
[O&H0]-[C&H2]-[C&H0]-[O&H1],-0.1125076487660408
[O&H1]-[C&H0]-[C&H2],-0.11192643642425537
[C&H3]-[C&H2]-[C&H2],0.10969999432563782
[C&H2]-[C&H0]-[O&H1],-0.10812220722436905
[c&H0&R](:[c&H1&R]:[c&H1&R]):[c&H0&R2]:[c&H0&R2],0.10806943476200104
[c&H0&R]-[c&H0&R]:[c&H1&R],0.10709404945373535
[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H0&R]-[Cl&H0],0.10706622898578644
[N&H1&R]-[C&H2&R],-0.1062907874584198
[S&H0](=[O&H0])=[O&H0],-0.10414601862430573
[c&H0&R]-[C&H0](-[F&H0])-[F&H0],0.10230959206819534
[c&H0&R]:[n&H0&R]:[c&H0&R2]:[c&H0&R2],0.10136597603559494
[c&H0&R]:[c&H1&R]:[c&H0&R]:[c&H1&R]:[c&H0&R],0.10078119486570358
[C&H0]=[O&H0],-0.10069010406732559
[c&H0&R]-[O&H0]-[C&H2]-[C&H0]-[O&H1],-0.10031569004058838
[C&H1],0.0999392718076706
[c&H1&R]:[c&H1&R]:[c&H0&R](-[Cl&H0]):[c&H1&R],0.09859243780374527
[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H0&R2]:[c&H0&R2],0.09520741552114487
[C&H2&R]-[C&H2&R]-[C&H2&R]-[C&H2&R]-[C&H2&R],0.09495013952255249
[C&H2&R]-[N&H1&R]-[C&H2&R]-[C&H2&R],-0.0948883593082428
[C&H0](=[O&H0])-[C&H2]-[O&H0]-[c&H0&R],-0.09449432790279388
[C&H0](=[O&H0])-[c&H0&R]:[c&H0&R],-0.09334070235490799
[c&H1&R]:[c&H0&R]-[Cl&H0],0.09302724897861481
[N&H0]-[C&H0]=[O&H0],0.09292367845773697
[C&H2&R]-[c&H0&R2]:[c&H0&R2],0.09180133789777756
[C&H0]-[c&H0&R](:[c&H1&R]):[c&H0&R],0.0906294584274292
[c&H0&R](:[c&H1&R]):[c&H0&R2]:[c&H0&R2]:[n&H1&R],-0.08979944884777069
[O&H1]-[C&H0]-[c&H0&R]:[c&H1&R],-0.08940152078866959
[O&H1]-[c&H0&R]:[c&H1&R]:[c&H1&R]:[c&H0&R],0.08922887593507767
[c&H1&R]:[c&H1&R]:[c&H0&R]-[C&H0]-[O&H1],-0.08889982849359512
