fragment,coefficient
[C&H0]-[O&H1],-0.470115602016449
[C&H2]-[C&H0]-[O&H1],-0.27371805906295776
[S&H0]=[O&H0],-0.27347609400749207
[N&H1]-[c&H0&R],0.23130623996257782
[C&H2&R]-[N&H1&R],-0.23050880432128906
[C&H2]-[C&H0],-0.22711007297039032
[c&H0&R]-[c&H0&R],0.2155161201953888
[C&H3]-[C&H0],-0.2012658417224884
[c&H0&R2]:[s&H0&R],0.19595204293727875
[C&H3]-[N&H1],-0.1879134178161621
[c&H0&R]-[N&H1],0.1817135363817215
[S&H0]-[C&H2],0.18023823201656342
[C&H0]-[F&H0],0.17526881396770477
[C&H2]-[C&H1]-[O&H1],-0.17020773887634277
[c&H0&R]-[n&H0&R],0.16981855034828186
[C&H0]=[N&H1],-0.16623450815677643
[N&H0]-[C&H0],0.1656326949596405
[C&H0]-[C&H3],0.1649991124868393
[C&H0](=[N&H1])-[N&H2],-0.16422317922115326
[C&H3]-[C&H0]-[N&H1],-0.16204823553562164
[N&H1]-[C&H2],-0.16168564558029175
[C&H0]-[N&H2],-0.15992459654808044
[C&H1]-[c&H0&R],0.1570545881986618
[C&H2]-[C&H1],0.15160901844501495
[c&H0&R2]:[c&H0&R2],0.15069057047367096
[C&H2]-[C&H0]=[O&H0],-0.14481095969676971
[n&H0&R]-[C&H2],0.14336082339286804
[C&H2&R]-[C&H2&R],0.14149582386016846
[n&H0&R]:[n&H1&R],-0.14049331843852997
[c&H0&R]-[Cl&H0],0.13859549164772034
[C&H2]-[N&H1],-0.13772138953208923
[C&H2]-[C&H0&R3],0.13725422322750092
[c&H0&R]-[N&H0],0.13711316883563995
[C&H2&R2]-[C&H1&R3],0.13699877262115479
[N&H1]-[S&H0],-0.13563492894172668
[c&H1&R]:[c&H0&R],0.1323852688074112
[N&H1]-[C&H0]-[N&H2],-0.12978701293468475
[N&H1]-[C&H2]-[c&H0&R],0.12812817096710205
[N&H0&R]-[c&H0&R],0.12343557924032211
[C&H3]-[C&H0]-[c&H0&R],-0.12330196797847748
[c&H1&R]:[c&H1&R],0.12184655666351318
[c&H1&R]:[c&H0&R]-[c&H0&R],0.12114718556404114
[C&H0&R3]-[C&H2&R2],0.11911243945360184
[c&H0&R2]-[C&H0&R],0.119061678647995
[N&H0&+](=[O&H0])-[O&H0&-],-0.11845511943101883
[C&H0](=[O&H0])-[N&H2],-0.11774574220180511
[n&H0&R]:[c&H0&R2],0.11735224723815918
[C&H0]-[N&H0],0.11640258878469467
[n&H1&R]:[c&H0&R],-0.11501838266849518
[C&H0&R]-[c&H0&R2],0.11419562995433807
